## spawn-red (spawn) along x
TRANSECT 21 stations from (-36, 66) to (-16, 66), every 1
  station        ground  surface  water  top  standing            step
  (  -36,    66)                                                    void
  (  -35,    66)                                                    void
  (  -34,    66)                                                    void
  (  -33,    66)                                                    void
  (  -32,    66)      14       14           24                      
  (  -31,    66)      14       14           25  spawn spawn-1       
  (  -30,    66)      14       14           26  spawn spawn-1       
  (  -29,    66)      14       14           27  spawn spawn-1       
  (  -28,    66)      14       14           27  spawn spawn-1       
  (  -27,    66)      14       14           26  spawn spawn-1       
  (  -26,    66)      14       14           25  spawn spawn-1       
  (  -25,    66)      14       14           24                      
  (  -24,    66)      14       14           14                      
  (  -23,    66)      14       14           14                      
  (  -22,    66)      14       14           14                      
  (  -21,    66)      14       14           14                      
  (  -20,    66)      14       14           14                      
  (  -19,    66)      14       14           14                      
  (  -18,    66)      14       14           14                      
  (  -17,    66)      14       14           14                      
  (  -16,    66)      14       14           14                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-31, 64)

## spawn-red (spawn) along z
TRANSECT 29 stations from (-28, 52) to (-28, 80), every 1
  station        ground  surface  water  top  standing            step
  (  -28,    52)                                                    void
  (  -28,    53)                                                    void
  (  -28,    54)                                                    void
  (  -28,    55)                                                    void
  (  -28,    56)                                                    void
  (  -28,    57)                                                    void
  (  -28,    58)                                                    void
  (  -28,    59)                                                    void
  (  -28,    60)      14       14           27                      
  (  -28,    61)      14       14           27  spawn spawn-1       
  (  -28,    62)      14       14           27  spawn spawn-1       
  (  -28,    63)      14       14           27  spawn spawn-1       
  (  -28,    64)      14       14           27  spawn spawn-1       
  (  -28,    65)      14       14           27  spawn spawn-1       
  (  -28,    66)      14       14           27  spawn spawn-1       
  (  -28,    67)      14       14           27  spawn spawn-1       
  (  -28,    68)      14       14           27  spawn spawn-1       
  (  -28,    69)      14       14           27  spawn spawn-1       
  (  -28,    70)      14       14           27  spawn spawn-1       
  (  -28,    71)      14       14           27                      
  (  -28,    72)                                                    void
  (  -28,    73)                                                    void
  (  -28,    74)                                                    void
  (  -28,    75)                                                    void
  (  -28,    76)                                                    void
  (  -28,    77)                                                    void
  (  -28,    78)                                                    void
  (  -28,    79)                                                    void
  (  -28,    80)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-30, 61)
