      |          0         |
      | 987654321012345678 |
  -24 |      WWW           |
  -23 |      W¤W           |
  -22 |      FFF           |
  -21 |      FFF           |
  -20 |      FFF           |
  -19 |      AAAAAAAA      |
  -18 |      AAAAAAAAEESS  |
  -17 |      AAAAAAAAEES@  |
  -16 |      DDDooCCCEESS  |
  -15 | VVGGGDDDooCCC      |
  -14 | V¤GGGDDDooCCC      |
  -13 | VVGGGDDDooCCC      |
  -12 |      BBBBBBBB      |
  -11 |      BBBBBBBB      |
  -10 |      BBBBBBBB      |
   -9 |       HHHHHH       |
   -8 |       HHHHHH       |
   -7 |       HHHHHH       |
   -6 |       HHHHHH       |
   -5 |       HHHHHH       |
   -4 |       ++++++       |
   -3 |       ++++++       |
   -2 |       ++++++       |
   -1 |       ++++++       |
    0 |       ++++++       |
    1 |       ++++++       |
    2 |       ++++++       |
    3 |       ++++++       |
    4 |       HHHHHH       |
    5 |       HHHHHH       |
    6 |       HHHHHH       |
    7 |       HHHHHH       |
    8 |       HHHHHH       |
    9 |      BBBBBBBB      |
   10 |      BBBBBBBB      |
   11 |      BBBBBBBB      |
   12 |      CCCooDDDGGGVV |
   13 |      CCCooDDDGGGV¤ |
   14 |      CCCooDDDGGGVV |
   15 |  SSEECCCooDDD      |
   16 |  S@EEAAAAAAAA      |
   17 |  SSEEAAAAAAAA      |
   18 |      AAAAAAAA      |
   19 |           FFF      |
   20 |           FFF      |
   21 |           FFF      |
   22 |           WWW      |
   23 |           W¤W      |
      18 × 48 cells drawn  ·  18 × 48 cells = 72 × 192 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-b-t1 (piece)   H frontline-t1 (piece)   
      S spawn-room (spawn)   V wool-b-room (wool-room)   W wool-a-room (wool-room)   ¤ wool   
