## spawn-red (spawn) along x
TRANSECT 27 stations from (-13, 75) to (13, 75), every 1
  station        ground  surface  water  top  standing            step
  (  -13,    75)                                                    void
  (  -12,    75)                                                    void
  (  -11,    75)                                                    void
  (  -10,    75)                                                    void
  (   -9,    75)                                                    void
  (   -8,    75)                                                    void
  (   -7,    75)                                                    void
  (   -6,    75)                                                    void
  (   -5,    75)      15       15           29                      
  (   -4,    75)      15       15           29  spawn spawn-1       
  (   -3,    75)      15       15           29  spawn spawn-1       
  (   -2,    75)      15       15           29  spawn spawn-1       
  (   -1,    75)      15       15           29  spawn spawn-1       
  (    0,    75)      15       15           29  spawn spawn-1       
  (    1,    75)      15       15           29  spawn spawn-1       
  (    2,    75)      15       15           29  spawn spawn-1       
  (    3,    75)      15       15           29  spawn spawn-1       
  (    4,    75)      15       15           29                      
  (    5,    75)                                                    void
  (    6,    75)                                                    void
  (    7,    75)                                                    void
  (    8,    75)                                                    void
  (    9,    75)                                                    void
  (   10,    75)                                                    void
  (   11,    75)                                                    void
  (   12,    75)                                                    void
  (   13,    75)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-4, 73)

## spawn-red (spawn) along z
TRANSECT 18 stations from (0, 62) to (0, 79), every 1
  station        ground  surface  water  top  standing            step
  (    0,    62)      15       15           15                      
  (    0,    63)      15       15           15                      
  (    0,    64)      15       15           15                      
  (    0,    65)      15       15           15                      
  (    0,    66)      15       15           15                      
  (    0,    67)      15       15           15                      
  (    0,    68)      15       15           15                      
  (    0,    69)      15       15           15                      
  (    0,    70)      15       15           15                      
  (    0,    71)      15       15           25                      
  (    0,    72)      15       15           26  spawn spawn-1       
  (    0,    73)      15       15           27  spawn spawn-1       
  (    0,    74)      15       15           28  spawn spawn-1       
  (    0,    75)      15       15           29  spawn spawn-1       
  (    0,    76)      15       15           28  spawn spawn-1       
  (    0,    77)      15       15           27  spawn spawn-1       
  (    0,    78)      15       15           26  spawn spawn-1       
  (    0,    79)      15       15           25                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-2, 72)
