## spawn-red (spawn) along x
TRANSECT 37 stations from (-18, -110) to (18, -110), every 1
  station        ground  surface  water  top  standing            step
  (  -18,  -110)                                                    void
  (  -17,  -110)                                                    void
  (  -16,  -110)                                                    void
  (  -15,  -110)                                                    void
  (  -14,  -110)                                                    void
  (  -13,  -110)                                                    void
  (  -12,  -110)                                                    void
  (  -11,  -110)                                                    void
  (  -10,  -110)      14       14           14                      
  (   -9,  -110)      14       14           14                      
  (   -8,  -110)      14       14           23                      
  (   -7,  -110)      14       14           23  spawn spawn-1       
  (   -6,  -110)      14       14           23  spawn spawn-1       
  (   -5,  -110)      14       14           23  spawn spawn-1       
  (   -4,  -110)      14       14           23  spawn spawn-1       
  (   -3,  -110)      14       14           23  spawn spawn-1       
  (   -2,  -110)      14       14           23  spawn spawn-1       
  (   -1,  -110)      14       14           23  spawn spawn-1       
  (    0,  -110)      14       14           23  spawn spawn-1       
  (    1,  -110)      14       14           23  spawn spawn-1       
  (    2,  -110)      14       14           23  spawn spawn-1       
  (    3,  -110)      14       14           23  spawn spawn-1       
  (    4,  -110)      14       14           23  spawn spawn-1       
  (    5,  -110)      14       14           23  spawn spawn-1       
  (    6,  -110)      14       14           23  spawn spawn-1       
  (    7,  -110)      14       14           23                      
  (    8,  -110)      14       14           14                      
  (    9,  -110)      14       14           14                      
  (   10,  -110)                                                    void
  (   11,  -110)                                                    void
  (   12,  -110)                                                    void
  (   13,  -110)                                                    void
  (   14,  -110)                                                    void
  (   15,  -110)                                                    void
  (   16,  -110)                                                    void
  (   17,  -110)                                                    void
  (   18,  -110)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-7, -112)

## spawn-red (spawn) along z
TRANSECT 29 stations from (0, -120) to (0, -92), every 1
  station        ground  surface  water  top  standing            step
  (    0,  -120)      14       14           14                      
  (    0,  -119)      14       14           14                      
  (    0,  -118)      14       14           23                      
  (    0,  -117)      14       14           23  spawn spawn-1       
  (    0,  -116)      14       14           23  spawn spawn-1       
  (    0,  -115)      14       14           23  spawn spawn-1       
  (    0,  -114)      14       14           14  spawn spawn-1       
  (    0,  -113)      14       14           14  spawn spawn-1       
  (    0,  -112)      14       14           14  spawn spawn-1       
  (    0,  -111)      14       14           23  spawn spawn-1       
  (    0,  -110)      14       14           23  spawn spawn-1       
  (    0,  -109)      14       14           23  spawn spawn-1       
  (    0,  -108)      14       14           23                      
  (    0,  -107)      14       14           14                      
  (    0,  -106)      14       14           17  stroke track-head   
  (    0,  -105)      14       14           17  stroke track-head   
  (    0,  -104)      14       14           17  stroke track-head   
  (    0,  -103)      14       14           14  stroke track-head   
  (    0,  -102)      14       14           14                      
  (    0,  -101)      14       14           14                      
  (    0,  -100)      14       14           14                      
  (    0,   -99)      14       14           14                      
  (    0,   -98)      14       14           14                      
  (    0,   -97)      14       14           14                      
  (    0,   -96)      14       14           14                      
  (    0,   -95)      14       14           14                      
  (    0,   -94)      14       14           14                      
  (    0,   -93)      14       14           14                      
  (    0,   -92)      14       14           14                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-2, -117), ironcube spawn-1:0 at (-2, -106), stroke track-head at (-1, -106)
