      |        0       |
      | 76543210123456 |
  -24 |      SSSS      |
  -23 |      SS@S      |
  -22 |      SSSS      |
  -21 |      SSiS      |
  -20 | BBBBBBBBBBBBBB |
  -19 | BBBBBBBBBBBBBB |
  -18 | BBBBBBBBBBBBBB |
  -17 | AAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAOAA |
  -12 | AAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAA |
   -4 | ++++++++++++++ |
   -3 | ++++++++++++++ |
   -2 | ++++++++++++++ |
   -1 | ++++++++++++++ |
    0 | ++++++++++++++ |
    1 | ++++++++++++++ |
    2 | ++++++++++++++ |
    3 | ++++++++++++++ |
    4 | AAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAA |
   12 | AAAOAAAAAAAAAA |
   13 | AAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAA |
   17 | BBBBBBBBBBBBBB |
   18 | BBBBBBBBBBBBBB |
   19 | BBBBBBBBBBBBBB |
   20 |      SSiS      |
   21 |      SSSS      |
   22 |      SSSS      |
   23 |      SS@S      |
      14 × 48 cells drawn  ·  14 × 48 cells = 70 × 240 blocks  ·  cell 5
      @ spawn   A floor (piece)   B head (piece)   O core   S spawn (spawn)   i iron   
