      | 1         0          |
      | 09876543210123456789 |
  -28 |  FFFFFFFSSSSEEEEEEE  |
  -27 |  FFFFFFFSS@SEEEEEEE  |
  -26 |  FFFFFFFSSSSEEEEEEE  |
  -25 |  DDDDDDDDDDDDDDDDDD  |
  -24 |  DDDDDDDDDDDDDDDDDD  |
  -23 |  DDDDDDDDDDDDDDDDDD  |
  -22 |  CCCCCCCCCCCCCCCCCC  |
  -21 |  CCCCCCCCCCCCCCCCCC  |
  -20 |  CCCCCCCCCCCCCCCCCC  |
  -19 |  CCCCCCCCCCCCCCCCCC  |
  -18 |  CCCCCCCCCCCCCCCCCC  |
  -17 |  CCCCCCCCCCCCCCCCCC  |
  -16 |  CCC!CCCCCCCCCCCCCC  |
  -15 | BBBBBBBBBBBBBBBBBBBB |
  -14 | BBBBBBBBBBBBB!BBBBBB |
  -13 | BBBBBBBBBBBBBBBBBBBB |
  -12 | BBBBBBBBBBBBBBBBBBBB |
  -11 | BBBBBBBBBBBBBBBBBBBB |
  -10 | BBBBBBBBBBBBBBBBBBBB |
   -9 | BBBBBBBBBBBBBBBBBBBB |
   -8 | BBBBBBBBBBBBBBBBBBBB |
   -7 |    AAAAAAAAAAAAAA    |
   -6 |    AAAAAAAAAAAAAA    |
   -5 |    AAAAAAAAAAAAAA    |
   -4 |    ++++++++++++++    |
   -3 |    ++++++++++++++    |
   -2 |    ++++++++++++++    |
   -1 |    ++++++++++++++    |
    0 |    ++++++++++++++    |
    1 |    ++++++++++++++    |
    2 |    ++++++++++++++    |
    3 |    ++++++++++++++    |
    4 |    AAAAAAAAAAAAAA    |
    5 |    AAAAAAAAAAAAAA    |
    6 |    AAAAAAAAAAAAAA    |
    7 | BBBBBBBBBBBBBBBBBBBB |
    8 | BBBBBBBBBBBBBBBBBBBB |
    9 | BBBBBBBBBBBBBBBBBBBB |
   10 | BBBBBBBBBBBBBBBBBBBB |
   11 | BBBBBBBBBBBBBBBBBBBB |
   12 | BBBBBBBBBBBBBBBBBBBB |
   13 | BBBBBBBBBBBBBBBBBBBB |
   14 | BBBBBBB!BBBBBBBBBBBB |
   15 |  CCCCCCCCCCCCCCC!CC  |
   16 |  CCCCCCCCCCCCCCCCCC  |
   17 |  CCCCCCCCCCCCCCCCCC  |
   18 |  CCCCCCCCCCCCCCCCCC  |
   19 |  CCCCCCCCCCCCCCCCCC  |
   20 |  CCCCCCCCCCCCCCCCCC  |
   21 |  CCCCCCCCCCCCCCCCCC  |
   22 |  DDDDDDDDDDDDDDDDDD  |
   23 |  DDDDDDDDDDDDDDDDDD  |
   24 |  DDDDDDDDDDDDDDDDDD  |
   25 |  EEEEEEESSSSFFFFFFF  |
   26 |  EEEEEEESS@SFFFFFFF  |
   27 |  EEEEEEESSSSFFFFFFF  |
      20 × 56 cells drawn  ·  20 × 56 cells = 80 × 224 blocks  ·  cell 4
      ! destroyable   @ spawn   A kai (piece)   B bahnhof (piece)   C stadt (piece)   
      D vorplatz (piece)   E flanke-w (piece)   F flanke-e (piece)   S kopfbau (spawn)   
