      |     1         0         1    |
      | 4321098765432101234567890123 |
  -10 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAASS@SAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAA!AAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAA!AAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
    7 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
    8 | AAAAAAAAAAAASS@SAAAAAAAAAAAA |
    9 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
      28 × 20 cells drawn  ·  28 × 20 cells = 140 × 100 blocks  ·  cell 5
      ! destroyable   @ spawn   A field (piece)   S camp (spawn)   
