      |        0       |
      | 76543210123456 |
  -24 |     SSSSSS     |
  -23 |     SSS@SS     |
  -22 |     iSSSSi     |
  -21 |     SSSSSS     |
  -20 | AAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAA |
  -13 | AAAA!AAAAAAAAA |
  -12 | AAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAA |
   -3 | ++++++++++++++ |
   -2 | ++++++++++++++ |
   -1 | ++++++++++++++ |
    0 | ++++++++++++++ |
    1 | ++++++++++++++ |
    2 | ++++++++++++++ |
    3 | AAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAA |
   12 | AAAAAAAAA!AAAA |
   13 | AAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAA |
   20 |     SSSSSS     |
   21 |     iSSSSi     |
   22 |     SSS@SS     |
   23 |     SSSSSS     |
      14 × 48 cells drawn  ·  14 × 48 cells = 70 × 240 blocks  ·  cell 5
      ! destroyable   @ spawn   A moor (piece)   S stell (spawn)   i iron   
