      | 1         0          |
      | 09876543210123456789 |
  -40 |         SSSS         |
  -39 |         SS@i         |
  -38 |     EEEEEEEEEEEE     |
  -37 |     EEEEEEEEEEEE     |
  -36 | DDDDDDDDDDDDDDDDDDDD |
  -35 | DDDDDDDDDDDDDDDDDDDD |
  -34 | DDDDDDDDDDDDDDDDDDDD |
  -33 | DDDDDDDDDDDDDDDDDDDD |
  -32 | DDDDDDDDDDDDDDDDDDDD |
  -31 | DDDDDDDDDDDDDDDDDDDD |
  -30 | DDDDDDDDDDDDDDDDDDDD |
  -29 | DDDDDDDDDDDDDDDDDDDD |
  -28 | CCCCCCCooooooBBBBBBB |
  -27 | CCCCCCCooooooBBBBBBB |
  -26 | CCCCCCCooooooBBBBBBB |
  -25 | CCCCCCCooooooBBBBBBB |
  -24 | CCCCCCCooooooBBBBB!B |
  -23 | CC!CCCCooooooBBBBBBB |
  -22 | CCCCCCCooooooBBBBBBB |
  -21 | CCCCCCCooooooBBBBBBB |
  -20 | CCCCCCCooooooBBBBBBB |
  -19 | CCCCCCCooooooBBBBBBB |
  -18 | CCCCCCCooooooBBBBBBB |
  -17 | CCCCCCCooooooBBBBBBB |
  -16 | CCCCCCCooooooBBBBBBB |
  -15 | CCCCCCCooooooBBBBBBB |
  -14 | CCCCCCCooooooBBBBBBB |
  -13 | CCCCCCCooooooBBBBBBB |
  -12 | CCCCCCCooooooBBBBBBB |
  -11 | CCCCCCCooooooBBBBBBB |
  -10 | CCCCCCCooooooBBBBBBB |
   -9 | CCCCCCCooooooBBBBBBB |
   -8 | CCCCCCCooooooBBBBBBB |
   -7 | CCCCCCCooooooBBBBBBB |
   -6 | AAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAA |
    6 | BBBBBBBooooooCCCCCCC |
    7 | BBBBBBBooooooCCCCCCC |
    8 | BBBBBBBooooooCCCCCCC |
    9 | BBBBBBBooooooCCCCCCC |
   10 | BBBBBBBooooooCCCCCCC |
   11 | BBBBBBBooooooCCCCCCC |
   12 | BBBBBBBooooooCCCCCCC |
   13 | BBBBBBBooooooCCCCCCC |
   14 | BBBBBBBooooooCCCCCCC |
   15 | BBBBBBBooooooCCCCCCC |
   16 | BBBBBBBooooooCCCCCCC |
   17 | BBBBBBBooooooCCCCCCC |
   18 | BBBBBBBooooooCCCCCCC |
   19 | BBBBBBBooooooCCCCCCC |
   20 | BBBBBBBooooooCCCCCCC |
   21 | BBBBBBBooooooCCCCCCC |
   22 | BBBBBBBooooooCCCCCCC |
   23 | BBBBBBBooooooCCCCC!C |
   24 | BB!BBBBooooooCCCCCCC |
   25 | BBBBBBBooooooCCCCCCC |
   26 | BBBBBBBooooooCCCCCCC |
   27 | BBBBBBBooooooCCCCCCC |
   28 | DDDDDDDDDDDDDDDDDDDD |
   29 | DDDDDDDDDDDDDDDDDDDD |
   30 | DDDDDDDDDDDDDDDDDDDD |
   31 | DDDDDDDDDDDDDDDDDDDD |
   32 | DDDDDDDDDDDDDDDDDDDD |
   33 | DDDDDDDDDDDDDDDDDDDD |
   34 | DDDDDDDDDDDDDDDDDDDD |
   35 | DDDDDDDDDDDDDDDDDDDD |
   36 |     EEEEEEEEEEEE     |
   37 |     EEEEEEEEEEEE     |
   38 |         SSSS         |
   39 |         Si@S         |
      20 × 80 cells drawn  ·  20 × 80 cells = 100 × 400 blocks  ·  cell 5
      ! destroyable   @ spawn   A pass (piece)   B reef (piece)   C wash (piece)   D holt (piece)   
      E apron (piece)   S spawn (spawn)   i iron   
