      |      -1         0         1      |
      | 65432109876543210123456789012345 |
  -18 | ++++++++SSSSSSSSSSSSSSSS++++     |
  -17 | ++++++++SSSSSSSSSSSSSSSS++++     |
  -16 | ++++++++SSSSSSSS@SiSSSSi++++     |
  -15 | ++++++++SSSSSSSSSSSSSSSS++++     |
  -14 | ++++++++++++++++++++++++++++     |
  -13 | ++++++++++++++++++++++++++++     |
  -12 | ++++++++++++++++++++++++++++     |
  -11 | ++++++++++++++++++++++++++++     |
  -10 | ++++++++++++++++++++++++¤BBB++++ |
   -9 | ++++++++++++++++++++++++BBBB++++ |
   -8 | ++++++++++++++++++++++++BBBB++++ |
   -7 | ++++++++++++++++++++++++++++++++ |
   -6 | ++++++++++++++++++++++++++++++++ |
   -5 | ++++++++++++++++++++++++++++++++ |
   -4 | +++++++++++AAAAAAAAAA+++++++++++ |
   -3 | +++++++++++AAAAAAAAAA+++++++++++ |
   -2 | +++++++++++AAAAAAAAAA+++++++++++ |
   -1 | +++++++++++AAAAAAAAAA+++++++++++ |
    0 | +++++++++++AAAAAAAAAA+++++++++++ |
    1 | +++++++++++AAAAAAAAAA+++++++++++ |
    2 | +++++++++++AAAAAAAAAA+++++++++++ |
    3 | +++++++++++AAAAAAAAAA+++++++++++ |
    4 | ++++++++++++++++++++++++++++++++ |
    5 | ++++++++++++++++++++++++++++++++ |
    6 | ++++++++++++++++++++++++++++++++ |
    7 | ++++BBBB++++++++++++++++++++++++ |
    8 | ++++BBBB++++++++++++++++++++++++ |
    9 | ++++BBB¤++++++++++++++++++++++++ |
   10 |     ++++++++++++++++++++++++++++ |
   11 |     ++++++++++++++++++++++++++++ |
   12 |     ++++++++++++++++++++++++++++ |
   13 |     ++++++++++++++++++++++++++++ |
   14 |     ++++SSSSSSSSSSSSSSSS++++++++ |
   15 |     ++++iSSSSiSS@SSSSSSS++++++++ |
   16 |     ++++SSSSSSSSSSSSSSSS++++++++ |
   17 |     ++++SSSSSSSSSSSSSSSS++++++++ |
      32 × 36 cells drawn  ·  32 × 36 cells = 160 × 180 blocks  ·  cell 5
      @ spawn   A hill (piece)   B wool-high (piece)   S spawn-zone (spawn)   i iron   ¤ wool   
