## spawn-red (spawn) along x
TRANSECT 97 stations from (-48, 80) to (48, 80), every 1
  station        ground  surface  water  top  standing            step
  (  -48,    80)                                                    void
  (  -47,    80)                                                    void
  (  -46,    80)                                                    void
  (  -45,    80)                                                    void
  (  -44,    80)                                                    void
  (  -43,    80)                                                    void
  (  -42,    80)                                                    void
  (  -41,    80)                                                    void
  (  -40,    80)      20       20           20                      
  (  -39,    80)      20       20           20                      
  (  -38,    80)      20       20           20                      
  (  -37,    80)      20       20           20                      
  (  -36,    80)      20       20           20                      
  (  -35,    80)      20       20           20                      
  (  -34,    80)      20       20           20                      
  (  -33,    80)      20       20           20                      
  (  -32,    80)      20       20           28  spawn spawn-1       
  (  -31,    80)      20       20           28  spawn spawn-1       
  (  -30,    80)      20       20           28  spawn spawn-1       
  (  -29,    80)      20       20           28  spawn spawn-1       
  (  -28,    80)      20       20           28  spawn spawn-1       
  (  -27,    80)      20       20           28  spawn spawn-1       
  (  -26,    80)      20       20           20  spawn spawn-1       
  (  -25,    80)      20       20           20  spawn spawn-1       
  (  -24,    80)      20       20           20  spawn spawn-1       
  (  -23,    80)      20       20           20  spawn spawn-1       
  (  -22,    80)      20       20           28  spawn spawn-1       
  (  -21,    80)      20       20           28  spawn spawn-1       
  (  -20,    80)      20       20           28  spawn spawn-1       
  (  -19,    80)      20       20           28  spawn spawn-1       
  (  -18,    80)      20       20           28  spawn spawn-1       
  (  -17,    80)      20       20           28  spawn spawn-1       
  (  -16,    80)      20       20           20                      
  (  -15,    80)      20       20           20                      
  (  -14,    80)      20       20           20                      
  (  -13,    80)      20       20           20                      
  (  -12,    80)      20       20           20                      
  (  -11,    80)      20       20           20                      
  (  -10,    80)      20       20           20                      
  (   -9,    80)      20       20           20                      
  (   -8,    80)      20       20           20                      
  (   -7,    80)      20       20           20                      
  (   -6,    80)      20       20           20                      
  (   -5,    80)      20       20           20                      
  (   -4,    80)      20       20           20                      
  (   -3,    80)      20       20           20                      
  (   -2,    80)      20       20           20                      
  (   -1,    80)      20       20           20                      
  (    0,    80)      20       20           20                      
  (    1,    80)      20       20           20                      
  (    2,    80)      20       20           20                      
  (    3,    80)      20       20           20                      
  (    4,    80)      20       20           20                      
  (    5,    80)      20       20           20                      
  (    6,    80)      20       20           20                      
  (    7,    80)      20       20           20                      
  (    8,    80)      20       20           20                      
  (    9,    80)      20       20           20                      
  (   10,    80)      20       20           20                      
  (   11,    80)      20       20           20                      
  (   12,    80)      20       20           20                      
  (   13,    80)      20       20           20                      
  (   14,    80)      20       20           20                      
  (   15,    80)      20       20           20                      
  (   16,    80)      20       20           20                      
  (   17,    80)      20       20           20                      
  (   18,    80)      20       20           20                      
  (   19,    80)      20       20           20                      
  (   20,    80)      20       20           20                      
  (   21,    80)      20       20           20                      
  (   22,    80)      20       20           20                      
  (   23,    80)      20       20           20                      
  (   24,    80)      20       20           20                      
  (   25,    80)      20       20           20                      
  (   26,    80)      20       20           20                      
  (   27,    80)      20       20           20                      
  (   28,    80)      20       20           20                      
  (   29,    80)      20       20           20                      
  (   30,    80)      20       20           20                      
  (   31,    80)      20       20           20                      
  (   32,    80)      20       20           20                      
  (   33,    80)      20       20           20                      
  (   34,    80)      20       20           20                      
  (   35,    80)      20       20           20                      
  (   36,    80)      20       20           20                      
  (   37,    80)      20       20           20                      
  (   38,    80)      20       20           20                      
  (   39,    80)      20       20           20                      
  (   40,    80)                                                    void
  (   41,    80)                                                    void
  (   42,    80)                                                    void
  (   43,    80)                                                    void
  (   44,    80)                                                    void
  (   45,    80)                                                    void
  (   46,    80)                                                    void
  (   47,    80)                                                    void
  (   48,    80)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: ironcube spawn-1:0 at (-38, 78), spawn spawn-1 at (-32, 78), ironcube spawn-1:1 at (-14, 78)

## spawn-red (spawn) along z
TRANSECT 27 stations from (0, 62) to (0, 88), every 1
  station        ground  surface  water  top  standing            step
  (    0,    62)                                                    void
  (    0,    63)                                                    void
  (    0,    64)                                                    void
  (    0,    65)                                                    void
  (    0,    66)                                                    void
  (    0,    67)                                                    void
  (    0,    68)                                                    void
  (    0,    69)                                                    void
  (    0,    70)      20       20           20                      
  (    0,    71)      20       20           20                      
  (    0,    72)      20       20           20                      
  (    0,    73)      20       20           20                      
  (    0,    74)      20       20           20                      
  (    0,    75)      20       20           20                      
  (    0,    76)      20       20           20                      
  (    0,    77)      20       20           20                      
  (    0,    78)      20       20           20                      
  (    0,    79)      20       20           20                      
  (    0,    80)      20       20           20                      
  (    0,    81)      20       20           20                      
  (    0,    82)      20       20           20                      
  (    0,    83)      20       20           20                      
  (    0,    84)      20       20           20                      
  (    0,    85)      20       20           20                      
  (    0,    86)      20       20           20                      
  (    0,    87)      20       20           20                      
  (    0,    88)      20       20           20                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)
