      |    1         0         1   |
      | 32109876543210123456789012 |
  -24 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -23 | AAAAAAAAAAAASSAAAAAAAAAAAA |
  -22 | AAAAAAAAAAAAS@AAAAAAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -16 | AAAAAA!AAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAA!AAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   -8 |     +++++oooooooo+++++     |
   -7 |     +++++oooooooo+++++     |
   -6 |     +++++oooooooo+++++     |
   -5 |     BBBBBBBBBBBBBBBBBB     |
   -4 |     BBBBBBBBBBBBBBBBBB     |
   -3 |     BBBBBBBBBBBBBBBBBB     |
   -2 |     BBBBBBBBBBBBBBBBBB     |
   -1 |     BBBBBBBBBBBBBBBBBB     |
    0 |     BBBBBBBBBBBBBBBBBB     |
    1 |     BBBBBBBBBBBBBBBBBB     |
    2 |     BBBBBBBBBBBBBBBBBB     |
    3 |     BBBBBBBBBBBBBBBBBB     |
    4 |     BBBBBBBBBBBBBBBBBB     |
    5 |     +++++oooooooo+++++     |
    6 |     +++++oooooooo+++++     |
    7 |     +++++oooooooo+++++     |
    8 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAA!AAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAAA!AAAAAA |
   16 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAAAAAAASSAAAAAAAAAAAA |
   22 | AAAAAAAAAAAAS@AAAAAAAAAAAA |
   23 | AAAAAAAAAAAAAAAAAAAAAAAAAA |
      26 × 48 cells drawn  ·  26 × 48 cells = 130 × 240 blocks  ·  cell 5
      ! destroyable   @ spawn   A meadow (piece)   B centre (piece)   S spawn (spawn)   
