      |     -3        -2        -1         0         1         2         3     |
      | 5432109876543210987654321098765432101234567890123456789012345678901234 |
  -16 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
  -15 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
  -14 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
  -13 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
  -12 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
  -11 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
  -10 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -9 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -8 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -7 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -6 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -5 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -4 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -3 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   -2 | SSSSSAAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAASSSSS |
   -1 | SSSSSAAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAA!AAAAAAAAAAAAASSSSS |
    0 | SS@SSAAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAASS@SS |
    1 | SSSSSAAAAAAAAAAAAA!AAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAASSSSS |
    2 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    3 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    4 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    5 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    6 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    7 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    8 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
    9 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   10 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   11 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   12 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   13 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   14 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
   15 |      AAAAAAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAAAAAAA      |
      70 × 32 cells drawn  ·  70 × 32 cells = 280 × 128 blocks  ·  cell 4
      ! destroyable   @ spawn   A field (piece)   S spawn (spawn)   
