## spawn-red (spawn) along x
TRANSECT 25 stations from (-32, 70) to (-8, 70), every 1
  station        ground  surface  water  top  standing            step
  (  -32,    70)                                                    void
  (  -31,    70)       9        9            9                      
  (  -30,    70)       9        9           18                      
  (  -29,    70)       9        9           18  spawn spawn-1       
  (  -28,    70)       9        9           18  spawn spawn-1       
  (  -27,    70)       9        9           18  spawn spawn-1       
  (  -26,    70)       9        9            9  spawn spawn-1       
  (  -25,    70)       9        9            9  spawn spawn-1       
  (  -24,    70)       9        9            9  spawn spawn-1       
  (  -23,    70)       9        9            9  spawn spawn-1       
  (  -22,    70)       9        9           18  spawn spawn-1       
  (  -21,    70)       9        9           18  spawn spawn-1       
  (  -20,    70)       9        9           18  spawn spawn-1       
  (  -19,    70)       9        9           18  stroke trod-spawn   
  (  -18,    70)       9        9            9  stroke trod-spawn   
  (  -17,    70)       9        9            9  stroke trod-spawn   
  (  -16,    70)       9        9            9  stroke trod-spawn   
  (  -15,    70)       9        9            9  stroke trod-spawn   
  (  -14,    70)       9        9            9  stroke trod-spawn   
  (  -13,    70)       9        9            9  stroke trod-spawn   
  (  -12,    70)       9        9            9  stroke trod-spawn   
  (  -11,    70)       9        9            9  stroke trod-spawn   
  (  -10,    70)       9        9            9  stroke trod-spawn   
  (   -9,    70)       9        9            9  stroke trod-spawn   
  (   -8,    70)       9        9            9  stroke trod-spawn   
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-29, 68), stroke trod-spawn at (-19, 69)

## spawn-red (spawn) along z
TRANSECT 37 stations from (-24, 52) to (-24, 88), every 1
  station        ground  surface  water  top  standing            step
  (  -24,    52)                                                    void
  (  -24,    53)                                                    void
  (  -24,    54)                                                    void
  (  -24,    55)                                                    void
  (  -24,    56)                                                    void
  (  -24,    57)                                                    void
  (  -24,    58)                                                    void
  (  -24,    59)                                                    void
  (  -24,    60)                                                    void
  (  -24,    61)       9        9            9                      
  (  -24,    62)       9        9            9                      
  (  -24,    63)       9        9            9                      
  (  -24,    64)       9        9           18                      
  (  -24,    65)       9        9           18  spawn spawn-1       
  (  -24,    66)       9        9           18  spawn spawn-1       
  (  -24,    67)       9        9           18  spawn spawn-1       
  (  -24,    68)       9        9            9  spawn spawn-1       
  (  -24,    69)       9        9            9  spawn spawn-1       
  (  -24,    70)       9        9            9  spawn spawn-1       
  (  -24,    71)       9        9            9  spawn spawn-1       
  (  -24,    72)       9        9           18  spawn spawn-1       
  (  -24,    73)       9        9           18  spawn spawn-1       
  (  -24,    74)       9        9           18  spawn spawn-1       
  (  -24,    75)       9        9           18                      
  (  -24,    76)       9        9            9                      
  (  -24,    77)       9        9           12  ironcube spawn-1:0  
  (  -24,    78)       9        9           12  ironcube spawn-1:0  
  (  -24,    79)                            12  ironcube spawn-1:0  void
  (  -24,    80)                                                    void
  (  -24,    81)                                                    void
  (  -24,    82)                                                    void
  (  -24,    83)                                                    void
  (  -24,    84)                                                    void
  (  -24,    85)                                                    void
  (  -24,    86)                                                    void
  (  -24,    87)                                                    void
  (  -24,    88)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-26, 65), ironcube spawn-1:0 at (-26, 77)
