## spawn-blue (spawn) along x
TRANSECT 47 stations from (-23, -90) to (23, -90), every 1
  station        ground  surface  water  top  standing            step
  (  -23,   -90)                                                    void
  (  -22,   -90)                                                    void
  (  -21,   -90)                                                    void
  (  -20,   -90)                                                    void
  (  -19,   -90)                                                    void
  (  -18,   -90)                                                    void
  (  -17,   -90)                                                    void
  (  -16,   -90)                                                    void
  (  -15,   -90)      14       14           14                      
  (  -14,   -90)      14       14           14                      
  (  -13,   -90)      14       14           14                      
  (  -12,   -90)      14       14           14                      
  (  -11,   -90)      14       14           14                      
  (  -10,   -90)      14       14           14                      
  (   -9,   -90)      14       14           14                      
  (   -8,   -90)      14       14           14                      
  (   -7,   -90)      14       14           28                      
  (   -6,   -90)      14       14           28  spawn spawn-1#1     
  (   -5,   -90)      14       14           28  spawn spawn-1#1     
  (   -4,   -90)      14       14           28  spawn spawn-1#1     
  (   -3,   -90)      14       14           28  spawn spawn-1#1     
  (   -2,   -90)      14       14           28  spawn spawn-1#1     
  (   -1,   -90)      14       14           28  spawn spawn-1#1     
  (    0,   -90)      14       14           28  spawn spawn-1#1     
  (    1,   -90)      14       14           28  spawn spawn-1#1     
  (    2,   -90)      14       14           28  spawn spawn-1#1     
  (    3,   -90)      14       14           28  spawn spawn-1#1     
  (    4,   -90)      14       14           28  spawn spawn-1#1     
  (    5,   -90)      14       14           28  spawn spawn-1#1     
  (    6,   -90)      14       14           28                      
  (    7,   -90)      14       14           14                      
  (    8,   -90)      14       14           14                      
  (    9,   -90)      14       14           14                      
  (   10,   -90)      14       14           14                      
  (   11,   -90)      14       14           14                      
  (   12,   -90)      14       14           14                      
  (   13,   -90)      14       14           14                      
  (   14,   -90)      14       14           14                      
  (   15,   -90)      14       14           14                      
  (   16,   -90)      14       14           14                      
  (   17,   -90)      14       14           14                      
  (   18,   -90)      14       14           14                      
  (   19,   -90)      14       14           14                      
  (   20,   -90)      14       14           14                      
  (   21,   -90)      14       14           14                      
  (   22,   -90)      14       14           14                      
  (   23,   -90)      14       14           14                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-6, -92)

## spawn-blue (spawn) along z
TRANSECT 29 stations from (0, -100) to (0, -72), every 1
  station        ground  surface  water  top  standing            step
  (    0,  -100)      14       14           14                      
  (    0,   -99)      14       14           24                      
  (    0,   -98)      14       14           25  spawn spawn-1#1     
  (    0,   -97)      14       14           26  spawn spawn-1#1     
  (    0,   -96)      14       14           27  spawn spawn-1#1     
  (    0,   -95)      14       14           28  spawn spawn-1#1     
  (    0,   -94)      14       14           29  spawn spawn-1#1     
  (    0,   -93)      14       14           30  spawn spawn-1#1     
  (    0,   -92)      14       14           30  spawn spawn-1#1     
  (    0,   -91)      14       14           29  spawn spawn-1#1     
  (    0,   -90)      14       14           28  spawn spawn-1#1     
  (    0,   -89)      14       14           27  spawn spawn-1#1     
  (    0,   -88)      14       14           26  spawn spawn-1#1     
  (    0,   -87)      14       14           25  spawn spawn-1#1     
  (    0,   -86)      14       14           24                      
  (    0,   -85)      14       14           14                      
  (    0,   -84)      14       14           14                      
  (    0,   -83)      14       14           14                      
  (    0,   -82)      14       14           14                      
  (    0,   -81)      14       14           14                      
  (    0,   -80)      14       14           14                      
  (    0,   -79)      14       14           14                      
  (    0,   -78)      14       14           14                      
  (    0,   -77)      14       14           14                      
  (    0,   -76)      14       14           14                      
  (    0,   -75)      14       14           14                      
  (    0,   -74)      12       12           12                      -2
  (    0,   -73)      12       12           12                      
  (    0,   -72)      12       12           12                      
rises 0, falls 1, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-2, -98)
