      |         0        |
      | 8765432101234567 |
  -20 |      SSSSSSCCC   |
  -19 |      SSS@SSCCC   |
  -18 |      SSSSSSCCC   |
  -17 |      SSiSSSCCC   |
  -16 |   BBBBBBBBBBBB   |
  -15 |   BBBBBBBBBBBB   |
  -14 |   BBBBBBBBBBBB   |
  -13 |   BBBBBBBBBBBB   |
  -12 |   BBBBBBBBBBBB   |
  -11 |   BBBBBBBB!BBB   |
  -10 |   BBBBBBBBBBBB   |
   -9 | AAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAA |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 | AAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAA |
    9 |   BBBBBBBBBBBB   |
   10 |   BBB!BBBBBBBB   |
   11 |   BBBBBBBBBBBB   |
   12 |   BBBBBBBBBBBB   |
   13 |   BBBBBBBBBBBB   |
   14 |   BBBBBBBBBBBB   |
   15 |   BBBBBBBBBBBB   |
   16 |   CCCSSSiSS      |
   17 |   CCCSSSSSS      |
   18 |   CCCSSS@SS      |
   19 |   CCCSSSSSS      |
      16 × 40 cells drawn  ·  16 × 40 cells = 80 × 200 blocks  ·  cell 5
      ! destroyable   @ spawn   A fore (piece)   B garth (piece)   C stage (piece)   
      S staith (spawn)   i iron   
