## spawn-blue (spawn) along x
TRANSECT 25 stations from (-72, -80) to (-48, -80), every 1
  station        ground  surface  water  top  standing            step
  (  -72,   -80)                                                    void
  (  -71,   -80)                                                    void
  (  -70,   -80)                                                    void
  (  -69,   -80)                                                    void
  (  -68,   -80)                                                    void
  (  -67,   -80)                                                    void
  (  -66,   -80)                                                    void
  (  -65,   -80)                                                    void
  (  -64,   -80)      13       13           23                      
  (  -63,   -80)      13       13           24  spawn spawn-1#1     
  (  -62,   -80)      13       13           25  spawn spawn-1#1     
  (  -61,   -80)      13       13           26  spawn spawn-1#1     
  (  -60,   -80)      13       13           26  spawn spawn-1#1     
  (  -59,   -80)      13       13           25  spawn spawn-1#1     
  (  -58,   -80)      13       13           24  spawn spawn-1#1     
  (  -57,   -80)      13       13           23                      
  (  -56,   -80)      13       13           13                      
  (  -55,   -80)      13       13           13                      
  (  -54,   -80)      13       13           13                      
  (  -53,   -80)      13       13           13                      
  (  -52,   -80)      13       13           13                      
  (  -51,   -80)      13       13           13                      
  (  -50,   -80)      13       13           13                      
  (  -49,   -80)      13       13           13                      
  (  -48,   -80)      13       13           13                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-63, -82)

## spawn-blue (spawn) along z
TRANSECT 33 stations from (-60, -96) to (-60, -64), every 1
  station        ground  surface  water  top  standing            step
  (  -60,   -96)                                                    void
  (  -60,   -95)                                                    void
  (  -60,   -94)                                                    void
  (  -60,   -93)                                                    void
  (  -60,   -92)                                                    void
  (  -60,   -91)                                                    void
  (  -60,   -90)                                                    void
  (  -60,   -89)                                                    void
  (  -60,   -88)      13       13           26                      
  (  -60,   -87)      13       13           26  spawn spawn-1#1     
  (  -60,   -86)      13       13           26  spawn spawn-1#1     
  (  -60,   -85)      13       13           26  spawn spawn-1#1     
  (  -60,   -84)      13       13           26  spawn spawn-1#1     
  (  -60,   -83)      13       13           26  spawn spawn-1#1     
  (  -60,   -82)      13       13           26  spawn spawn-1#1     
  (  -60,   -81)      13       13           26  spawn spawn-1#1     
  (  -60,   -80)      13       13           26  spawn spawn-1#1     
  (  -60,   -79)      13       13           26  spawn spawn-1#1     
  (  -60,   -78)      13       13           26  spawn spawn-1#1     
  (  -60,   -77)      13       13           26  spawn spawn-1#1     
  (  -60,   -76)      13       13           26  spawn spawn-1#1     
  (  -60,   -75)      13       13           26  spawn spawn-1#1     
  (  -60,   -74)      13       13           26  spawn spawn-1#1     
  (  -60,   -73)      13       13           26                      
  (  -60,   -72)                                                    void
  (  -60,   -71)                                                    void
  (  -60,   -70)                                                    void
  (  -60,   -69)                                                    void
  (  -60,   -68)                                                    void
  (  -60,   -67)                                                    void
  (  -60,   -66)                                                    void
  (  -60,   -65)                                                    void
  (  -60,   -64)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-62, -87)
