      |        -1         0         1        |
      | 876543210987654321012345678901234567 |
  -39 |                WWWW                  |
  -38 |                WW¤W                  |
  -37 |                FFFF                  |
  -36 |                FFFF                  |
  -35 |                FFFF                  |
  -34 |                FFFF                  |
  -33 |                FFFF                  |
  -32 |                FFFF                  |
  -31 |                FFFF                  |
  -30 |           BBBBBBBBBBBBB              |
  -29 |           BBBBBBBBBBBBB              |
  -28 |           BBBBBBBBBBBBB              |
  -27 |           BBBBBBBBBBBBB         VVVV |
  -26 |           DDDDDooooCCCC         VV¤V |
  -25 |           DDDDDooooCCCC         HHHH |
  -24 |           DDDDDooooCCCC         HHHH |
  -23 |           DDDDDooooCCCC         HHHH |
  -22 |   SSEEAAAAAAAAAAAAAAAAAAAAAGGGGGHHHH |
  -21 |   SSEEAAAAAAAAAAAAAAAAAAAAAGGGGGHHHH |
  -20 |   S@EEAAAAAAAAAAAAAAAAAAAAAGGGGGHHHH |
  -19 |   SSEEAAAAAAAAAAAAAAAAAAAAAGGGGGHHHH |
  -18 |        JJJJJJJJJJJJJJJJJJJJ          |
  -17 |        JJJJJJJJJJJJJJJJJJJJ          |
  -16 |        JJJJJJJJJJJJJJJJJJJJ          |
  -15 |        JJJJJJJJJJJJJJJJJJJJ          |
  -14 |            LLLLooooKKKKKK            |
  -13 |            LLLLooooKKKKKK            |
  -12 |            ++++++++++++++            |
  -11 |            ++++++++++++++            |
  -10 |            ++++++++++++++            |
   -9 |            ++MMMMMMMMM+++            |
   -8 |            ++MMMMMMMMM+++            |
   -7 |            ++MMMMMMMMM+++            |
   -6 |            ++MMMMMMMMM+++            |
   -5 |            ++MMMMMMMMM+++            |
   -4 |            ++MMMMMMMMM+++            |
   -3 |            ++++++++++++++            |
   -2 |            ++++++++++++++            |
   -1 |            ++++++++++++++            |
    0 |            ++++++++++++++            |
    1 |            ++++++++++++++            |
    2 |            ++++++++++++++            |
    3 |            +++MMMMMMMMM++            |
    4 |            +++MMMMMMMMM++            |
    5 |            +++MMMMMMMMM++            |
    6 |            +++MMMMMMMMM++            |
    7 |            +++MMMMMMMMM++            |
    8 |            +++MMMMMMMMM++            |
    9 |            ++++++++++++++            |
   10 |            ++++++++++++++            |
   11 |            ++++++++++++++            |
   12 |            KKKKKKooooLLLL            |
   13 |            KKKKKKooooLLLL            |
   14 |          JJJJJJJJJJJJJJJJJJJJ        |
   15 |          JJJJJJJJJJJJJJJJJJJJ        |
   16 |          JJJJJJJJJJJJJJJJJJJJ        |
   17 |          JJJJJJJJJJJJJJJJJJJJ        |
   18 | HHHHGGGGGAAAAAAAAAAAAAAAAAAAAAEESS   |
   19 | HHHHGGGGGAAAAAAAAAAAAAAAAAAAAAEESS   |
   20 | HHHHGGGGGAAAAAAAAAAAAAAAAAAAAAEES@   |
   21 | HHHHGGGGGAAAAAAAAAAAAAAAAAAAAAEESS   |
   22 | HHHH         CCCCooooDDDDD           |
   23 | HHHH         CCCCooooDDDDD           |
   24 | HHHH         CCCCooooDDDDD           |
   25 | VVVV         CCCCooooDDDDD           |
   26 | VV¤V         BBBBBBBBBBBBB           |
   27 |              BBBBBBBBBBBBB           |
   28 |              BBBBBBBBBBBBB           |
   29 |              BBBBBBBBBBBBB           |
   30 |                  FFFF                |
   31 |                  FFFF                |
   32 |                  FFFF                |
   33 |                  FFFF                |
   34 |                  FFFF                |
   35 |                  FFFF                |
   36 |                  FFFF                |
   37 |                  WWWW                |
   38 |                  WW¤W                |
      36 × 78 cells drawn  ·  36 × 78 cells = 144 × 312 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-b-t1 (piece)   H wool-b-t2 (piece)   
      J frontline-t1 (piece)   K frontline-t2 (piece)   L frontline-t3 (piece)   
      M mid-stone-0 (piece)   S spawn-room (spawn)   V wool-b-room (wool-room)   
      W wool-a-room (wool-room)   ¤ wool   
