## spawn-red (spawn) along x
TRANSECT 29 stations from (-192, 2) to (-164, 2), every 1
  station        ground  surface  water  top  standing            step
  ( -192,     2)       9        9            9                      
  ( -191,     2)       9        9           16                      
  ( -190,     2)       9        9           17  spawn red-spawn     
  ( -189,     2)       9        9           18  spawn red-spawn     
  ( -188,     2)       9        9           19  spawn red-spawn     
  ( -187,     2)       9        9           20  spawn red-spawn     
  ( -186,     2)       9        9           21  spawn red-spawn     
  ( -185,     2)       9        9           22  spawn red-spawn     
  ( -184,     2)       9        9           23  stroke quay-road    
  ( -183,     2)       9        9           24  spawn red-spawn     
  ( -182,     2)       9        9           24  spawn red-spawn     
  ( -181,     2)       9        9           23  stroke quay-road    
  ( -180,     2)       9        9           22  stroke quay-road    
  ( -179,     2)       9        9           21  stroke quay-road    
  ( -178,     2)       9        9           20  stroke quay-road    
  ( -177,     2)       9        9           19  stroke quay-road    
  ( -176,     2)       9        9           18  stroke quay-road    
  ( -175,     2)       9        9           17  stroke quay-road    
  ( -174,     2)       9        9           16  stroke quay-road    
  ( -173,     2)       9        9            9  stroke quay-road    
  ( -172,     2)       9        9            9  stroke quay-road    
  ( -171,     2)       9        9            9  stroke quay-road    
  ( -170,     2)       9        9            9  stroke quay-road    
  ( -169,     2)       9        9            9  stroke quay-road    
  ( -168,     2)       9        9            9  stroke quay-road    
  ( -167,     2)       9        9            9  stroke quay-road    
  ( -166,     2)       9        9            9  stroke quay-road    
  ( -165,     2)       9        9            9  stroke quay-road    
  ( -164,     2)       9        9            9  stroke quay-road    
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn at (-190, 0), stroke quay-road at (-184, 1)

## spawn-red (spawn) along z
TRANSECT 45 stations from (-182, -20) to (-182, 24), every 1
  station        ground  surface  water  top  standing            step
  ( -182,   -20)                                                    void
  ( -182,   -19)                                                    void
  ( -182,   -18)                                                    void
  ( -182,   -17)                                                    void
  ( -182,   -16)                                                    void
  ( -182,   -15)                                                    void
  ( -182,   -14)                                                    void
  ( -182,   -13)                                                    void
  ( -182,   -12)       9        9            9                      
  ( -182,   -11)       9        9            9                      
  ( -182,   -10)       9        9            9                      
  ( -182,    -9)       9        9           24                      
  ( -182,    -8)       9        9           24  spawn red-spawn     
  ( -182,    -7)       9        9           24  spawn red-spawn     
  ( -182,    -6)       9        9           24  spawn red-spawn     
  ( -182,    -5)       9        9           24  spawn red-spawn     
  ( -182,    -4)       9        9           24  spawn red-spawn     
  ( -182,    -3)       9        9           24  spawn red-spawn     
  ( -182,    -2)       9        9           24  spawn red-spawn     
  ( -182,    -1)       9        9           24  spawn red-spawn     
  ( -182,     0)       9        9           24  stroke quay-road    
  ( -182,     1)       9        9           24  spawn red-spawn     
  ( -182,     2)       9        9           24  spawn red-spawn     
  ( -182,     3)       9        9           24  stroke quay-road    
  ( -182,     4)       9        9           24  spawn red-spawn     
  ( -182,     5)       9        9           24  spawn red-spawn     
  ( -182,     6)       9        9           24  spawn red-spawn     
  ( -182,     7)       9        9           24  spawn red-spawn     
  ( -182,     8)       9        9           24  spawn red-spawn     
  ( -182,     9)       9        9           24  spawn red-spawn     
  ( -182,    10)       9        9           24  spawn red-spawn     
  ( -182,    11)       9        9           24  spawn red-spawn     
  ( -182,    12)       9        9           24                      
  ( -182,    13)       9        9            9                      
  ( -182,    14)       9        9            9                      
  ( -182,    15)       9        9            9                      
  ( -182,    16)                                                    void
  ( -182,    17)                                                    void
  ( -182,    18)                                                    void
  ( -182,    19)                                                    void
  ( -182,    20)                                                    void
  ( -182,    21)                                                    void
  ( -182,    22)                                                    void
  ( -182,    23)                                                    void
  ( -182,    24)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn at (-184, -8), stroke quay-road at (-183, 0)
