## rock-2 (boulder) along x
TRANSECT 25 stations from (-20, -44) to (4, -44), every 1
  station        ground  surface  water  top  standing            step
  (  -20,   -44)      21       21           24  boulder rock-1      
  (  -19,   -44)      21       21           23  boulder rock-1      
  (  -18,   -44)      21       21           21                      
  (  -17,   -44)      21       21           21                      
  (  -16,   -44)      22       22           22                      +1
  (  -15,   -44)      22       22           22                      
  (  -14,   -44)      22       22           22                      
  (  -13,   -44)      22       22           22                      
  (  -12,   -44)      22       22           22                      
  (  -11,   -44)      22       22           24  boulder rock-2      
  (  -10,   -44)      22       22           26  boulder rock-2      
  (   -9,   -44)      22       22           26  boulder rock-2      
  (   -8,   -44)      22       22           26  boulder rock-2      
  (   -7,   -44)      22       22           26  boulder rock-2      
  (   -6,   -44)      22       22           26  boulder rock-2      
  (   -5,   -44)      23       23           23                      +1
  (   -4,   -44)      23       23           23                      
  (   -3,   -44)      23       23           23                      
  (   -2,   -44)      23       23           23  stroke track-gate   
  (   -1,   -44)      23       23           23  stroke track-gate   
  (    0,   -44)      23       23           23  stroke track-gate   
  (    1,   -44)      23       23           23  stroke track-gate   
  (    2,   -44)      22       22           22                      -1
  (    3,   -44)      22       22           22                      
  (    4,   -44)      22       22           22                      
rises 2, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder rock-1 at (-22, -46), boulder rock-2 at (-11, -45), stroke track-gate at (-2, -46)

## rock-2 (boulder) along z
TRANSECT 25 stations from (-8, -56) to (-8, -32), every 1
  station        ground  surface  water  top  standing            step
  (   -8,   -56)      22       22           22                      
  (   -8,   -55)      22       22           22                      
  (   -8,   -54)      22       22           22                      
  (   -8,   -53)      22       22           22                      
  (   -8,   -52)      22       22           22                      
  (   -8,   -51)      22       22           22                      
  (   -8,   -50)      22       22           22                      
  (   -8,   -49)      23       23           23                      +1
  (   -8,   -48)      23       23           23                      
  (   -8,   -47)      23       23           23                      
  (   -8,   -46)      23       23           26  boulder rock-2      
  (   -8,   -45)      22       22           26  boulder rock-2      -1
  (   -8,   -44)      22       22           26  boulder rock-2      
  (   -8,   -43)      22       22           26  boulder rock-2      
  (   -8,   -42)      22       22           26  boulder rock-2      
  (   -8,   -41)      22       22           22                      
  (   -8,   -40)      22       22           22                      
  (   -8,   -39)      22       22           22                      
  (   -8,   -38)      22       22           22                      
  (   -8,   -37)      22       22           22                      
  (   -8,   -36)      22       22           22                      
  (   -8,   -35)      22       22           22                      
  (   -8,   -34)      22       22           22                      
  (   -8,   -33)      22       22           22                      
  (   -8,   -32)      22       22           22                      
rises 1, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder rock-2 at (-10, -46)
