      | 1         0          |
      | 09876543210123456789 |
  -24 | AAAAAAASSSSSSAAAAAAA |
  -23 | AAAAAAASSS@SSAAAAAAA |
  -22 | AAAAAAASSSSSSAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAA |
  -14 | AAA!AAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAA!AA |
   15 | AAAAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAASSSSSSAAAAAAA |
   22 | AAAAAAASSS@SSAAAAAAA |
   23 | AAAAAAASSSSSSAAAAAAA |
      20 × 48 cells drawn  ·  20 × 48 cells = 80 × 192 blocks  ·  cell 4
      ! destroyable   @ spawn   A fell (piece)   S spawn (spawn)   
