      | -2        -1         0         1         2 |
      | 109876543210987654321012345678901234567890 |
  -32 |          WWHHHHHH                          |
  -31 |          WWHHHHHH                          |
  -30 |          W¤HHHHHH                          |
  -29 |          WWHHHHHH                          |
  -28 |              GGGG                          |
  -27 |              GGGG                          |
  -26 |              GGGG                          |
  -25 |              GGGG                          |
  -24 |         AAAAAAAAAAAAAAAAAAAAAA             |
  -23 |         AAAAAAAAAAAAAAAAAAAAAA             |
  -22 |         AAAAAAAAAAAAAAAAAAAAAA             |
  -21 |         AAAAAAAAAAAAAAAAAAAAAA             |
  -20 |         EEEEooooDDDDooooCCCCCCFSS          |
  -19 |         EEEEooooDDDDooooCCCCCCFSS          |
  -18 | JJJJJJJJEEEEooooDDDDooooCCCCCCFS@          |
  -17 | JJJJJJJJEEEEooooDDDDooooCCCCCCFSS          |
  -16 | JJJJJJJJEEEEooooBBBBBBBBBBBBBB             |
  -15 | JJJJJJJJEEEEooooBBBBBBBBBBBBBB             |
  -14 | VVVV    EEEEooooBBBBBBBBBBBBBB             |
  -13 | VV¤V    EEEEooooBBBBBBBBBBBBBB             |
  -12 |         KKKKKKKKKKKKKKKKKKKKKK             |
  -11 |         KKKKKKKKKKKKKKKKKKKKKK             |
  -10 |         KKKKKKKKKKKKKKKKKKKKKK             |
   -9 |         KKKKKKKKKKKKKKKKKKKKKK             |
   -8 |            MMMMMMMMMoooLLLLLLL             |
   -7 |            MMMMMMMMMoooLLLLLLL             |
   -6 |            ++++++++++++++++++++            |
   -5 |            ++++++++++++++++++++            |
   -4 |            ++++++++++++++++++++            |
   -3 |            +NNNNNNN++++NNNNNNN+            |
   -2 |            +NNNNNNN++++NNNNNNN+            |
   -1 |            +NNNNNNN++++NNNNNNN+            |
    0 |            +NNNNNNN++++NNNNNNN+            |
    1 |            +NNNNNNN++++NNNNNNN+            |
    2 |            +NNNNNNN++++NNNNNNN+            |
    3 |            ++++++++++++++++++++            |
    4 |            ++++++++++++++++++++            |
    5 |            ++++++++++++++++++++            |
    6 |             LLLLLLLoooMMMMMMMMM            |
    7 |             LLLLLLLoooMMMMMMMMM            |
    8 |             KKKKKKKKKKKKKKKKKKKKKK         |
    9 |             KKKKKKKKKKKKKKKKKKKKKK         |
   10 |             KKKKKKKKKKKKKKKKKKKKKK         |
   11 |             KKKKKKKKKKKKKKKKKKKKKK         |
   12 |             BBBBBBBBBBBBBBooooEEEE    VVVV |
   13 |             BBBBBBBBBBBBBBooooEEEE    VV¤V |
   14 |             BBBBBBBBBBBBBBooooEEEEJJJJJJJJ |
   15 |             BBBBBBBBBBBBBBooooEEEEJJJJJJJJ |
   16 |          SSFCCCCCCooooDDDDooooEEEEJJJJJJJJ |
   17 |          SSFCCCCCCooooDDDDooooEEEEJJJJJJJJ |
   18 |          S@FCCCCCCooooDDDDooooEEEE         |
   19 |          SSFCCCCCCooooDDDDooooEEEE         |
   20 |             AAAAAAAAAAAAAAAAAAAAAA         |
   21 |             AAAAAAAAAAAAAAAAAAAAAA         |
   22 |             AAAAAAAAAAAAAAAAAAAAAA         |
   23 |             AAAAAAAAAAAAAAAAAAAAAA         |
   24 |                          GGGG              |
   25 |                          GGGG              |
   26 |                          GGGG              |
   27 |                          GGGG              |
   28 |                          HHHHHHWW          |
   29 |                          HHHHHHWW          |
   30 |                          HHHHHHW¤          |
   31 |                          HHHHHHWW          |
      42 × 64 cells drawn  ·  42 × 64 cells = 168 × 256 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E hub-t5 (piece)   F spawn-t1 (piece)   G wool-a-t1 (piece)   H wool-a-t2 (piece)   
      J wool-b-t1 (piece)   K frontline-t1 (piece)   L frontline-t2 (piece)   
      M frontline-t3 (piece)   N mid-stone-0 (piece)   S spawn-room (spawn)   
      V wool-b-room (wool-room)   W wool-a-room (wool-room)   ¤ wool   
