      | 1         0          |
      | 09876543210123456789 |
  -30 |             SSSSSS   |
  -29 |             SSS@SS   |
  -28 |             SSSSSS   |
  -27 | AAAAAAAAAAAAAAAAAAAA |
  -26 | AAAAAAAAAAAAAAAAAAAA |
  -25 | AAAAAAAAAAAAAAAAAAAA |
  -24 | AAAAAAAAAAAAAAAAAAAA |
  -23 | AAAAAAAAAAAAAAAAAAAA |
  -22 | AAAAAAAAAAAAAAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAAAAAAAA |
  -18 | AAAAAAAA!AAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAA |
   -4 | ++++++++++++++++++++ |
   -3 | ++++++++++++++++++++ |
   -2 | ++++++++++++++++++++ |
   -1 | ++++++++++++++++++++ |
    0 | ++++++++++++++++++++ |
    1 | ++++++++++++++++++++ |
    2 | ++++++++++++++++++++ |
    3 | ++++++++++++++++++++ |
    4 | AAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAA!AAAAAAAA |
   18 | AAAAAAAAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAAAAAAAAAAAAAAA |
   22 | AAAAAAAAAAAAAAAAAAAA |
   23 | AAAAAAAAAAAAAAAAAAAA |
   24 | AAAAAAAAAAAAAAAAAAAA |
   25 | AAAAAAAAAAAAAAAAAAAA |
   26 | AAAAAAAAAAAAAAAAAAAA |
   27 |   SSSSSS             |
   28 |   SSS@SS             |
   29 |   SSSSSS             |
      20 × 60 cells drawn  ·  20 × 60 cells = 80 × 240 blocks  ·  cell 4
      ! destroyable   @ spawn   A dale (piece)   S spawn (spawn)   
