      |       0      |
      | 654321012345 |
  -26 | EEEEESSSSSDD |
  -25 | EEEEESSSSSDD |
  -24 | EEEEES@SSiDD |
  -23 | EEEEESSSSSDD |
  -22 | EEEEESSSSSDD |
  -21 | CCCCCCCCCCCC |
  -20 | CCCCCCCCCCCC |
  -19 | CCCCCCCCCCCC |
  -18 | CCCCCCCCCCCC |
  -17 | CCCCCCCCCCCC |
  -16 | BBBBBBBBBBBB |
  -15 | BBBBBBBBBBBB |
  -14 | BBBBBBBBBBBB |
  -13 | BBBBBBBBBBBB |
  -12 | BBBBBBBBBOBB |
  -11 | BBBBBBBBBBBB |
  -10 | BBBBBBBBBBBB |
   -9 | BBBBBBBBBBBB |
   -8 | AAAAAAAAAAAA |
   -7 | AAAAAAAAAAAA |
   -6 | AAAAAAAAAAAA |
   -5 | AAAAAAAAAAAA |
   -4 | AAAAAAAAAAAA |
   -3 | AAAAAAAAAAAA |
   -2 | ++++++++++++ |
   -1 | ++++++++++++ |
    0 | ++++++++++++ |
    1 | ++++++++++++ |
    2 | AAAAAAAAAAAA |
    3 | AAAAAAAAAAAA |
    4 | AAAAAAAAAAAA |
    5 | AAAAAAAAAAAA |
    6 | AAAAAAAAAAAA |
    7 | AAAAAAAAAAAA |
    8 | BBBBBBBBBBBB |
    9 | BBBBBBBBBBBB |
   10 | BBBBBBBBBBBB |
   11 | BBBBBBBBBBBB |
   12 | BBOBBBBBBBBB |
   13 | BBBBBBBBBBBB |
   14 | BBBBBBBBBBBB |
   15 | BBBBBBBBBBBB |
   16 | CCCCCCCCCCCC |
   17 | CCCCCCCCCCCC |
   18 | CCCCCCCCCCCC |
   19 | CCCCCCCCCCCC |
   20 | CCCCCCCCCCCC |
   21 | DDSSSSSEEEEE |
   22 | DDSSSSSEEEEE |
   23 | DDiSS@SEEEEE |
   24 | DDSSSSSEEEEE |
   25 | DDSSSSSEEEEE |
      12 × 52 cells drawn  ·  12 × 52 cells = 48 × 208 blocks  ·  cell 4
      @ spawn   A strand (piece)   B bench (piece)   C brow (piece)   D fold-w (piece)   
      E fold-e (piece)   O core   S lodge (spawn)   i iron   
