## spawn-blue (spawn) along x
TRANSECT 27 stations from (-48, -68) to (-22, -68), every 1
  station        ground  surface  water  top  standing            step
  (  -48,   -68)                                                    void
  (  -47,   -68)                                                    void
  (  -46,   -68)                                                    void
  (  -45,   -68)                                                    void
  (  -44,   -68)                                                    void
  (  -43,   -68)                                                    void
  (  -42,   -68)                                                    void
  (  -41,   -68)                                                    void
  (  -40,   -68)      17       17           23                      
  (  -39,   -68)      17       17           23  spawn spawn-1#1     
  (  -38,   -68)      17       17           24  spawn spawn-1#1     
  (  -37,   -68)      17       17           24  spawn spawn-1#1     
  (  -36,   -68)      17       17           25  spawn spawn-1#1     
  (  -35,   -68)      17       17           24  spawn spawn-1#1     
  (  -34,   -68)      17       17           24  spawn spawn-1#1     
  (  -33,   -68)      17       17           23  spawn spawn-1#1     
  (  -32,   -68)      17       17           23                      
  (  -31,   -68)      17       17           17  stroke road-wool-a#1  
  (  -30,   -68)      16       16           16  stroke road-wool-a#1  -1
  (  -29,   -68)      16       16           16  stroke road-wool-a#1  
  (  -28,   -68)      16       16           16  stroke road-wool-a#1  
  (  -27,   -68)      15       15           15  stroke road-wool-a#1  -1
  (  -26,   -68)      15       15           15  stroke road-wool-a#1  
  (  -25,   -68)      15       15           15  stroke road-wool-a#1  
  (  -24,   -68)      15       15           15  stroke road-wool-a#1  
  (  -23,   -68)      15       15           15  stroke road-wool-a#1  
  (  -22,   -68)      16       16           16  stroke road-wool-a#1  +1
rises 1, falls 2, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-39, -70), stroke road-wool-a#1 at (-32, -67), stroke road-wool-b#1 at (-29, -66)

## spawn-blue (spawn) along z
TRANSECT 32 stations from (-35, -83) to (-35, -52), every 1
  station        ground  surface  water  top  standing            step
  (  -35,   -83)                                                    void
  (  -35,   -82)                                                    void
  (  -35,   -81)                                                    void
  (  -35,   -80)                                                    void
  (  -35,   -79)                                                    void
  (  -35,   -78)                                                    void
  (  -35,   -77)                                                    void
  (  -35,   -76)                                                    void
  (  -35,   -75)      17       17           24                      
  (  -35,   -74)      17       17           24  spawn spawn-1#1     
  (  -35,   -73)      17       17           24  spawn spawn-1#1     
  (  -35,   -72)      17       17           24  spawn spawn-1#1     
  (  -35,   -71)      17       17           24  spawn spawn-1#1     
  (  -35,   -70)      17       17           24  spawn spawn-1#1     
  (  -35,   -69)      17       17           24  spawn spawn-1#1     
  (  -35,   -68)      17       17           24  spawn spawn-1#1     
  (  -35,   -67)      17       17           24  spawn spawn-1#1     
  (  -35,   -66)      17       17           24  spawn spawn-1#1     
  (  -35,   -65)      17       17           24  spawn spawn-1#1     
  (  -35,   -64)      17       17           24  spawn spawn-1#1     
  (  -35,   -63)      17       17           24  spawn spawn-1#1     
  (  -35,   -62)      17       17           24  spawn spawn-1#1     
  (  -35,   -61)      17       17           24                      
  (  -35,   -60)                                                    void
  (  -35,   -59)                                                    void
  (  -35,   -58)                                                    void
  (  -35,   -57)                                                    void
  (  -35,   -56)                                                    void
  (  -35,   -55)                                                    void
  (  -35,   -54)                                                    void
  (  -35,   -53)                                                    void
  (  -35,   -52)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-37, -74)
