## clint-2 (boulder) along x
TRANSECT 25 stations from (-19, 41) to (5, 41), every 1
  station        ground  surface  water  top  standing            step
  (  -19,    41)      14       14           14                      
  (  -18,    41)      14       14           14                      
  (  -17,    41)      14       14           14                      
  (  -16,    41)      14       14           14                      
  (  -15,    41)      14       14           14                      
  (  -14,    41)      14       14           14                      
  (  -13,    41)      14       14           14                      
  (  -12,    41)      14       14           14                      
  (  -11,    41)      14       14           14                      
  (  -10,    41)      11       11           13  boulder clint-2     -3
  (   -9,    41)      11       11           15  boulder clint-2     
  (   -8,    41)      11       11           15  boulder clint-2     
  (   -7,    41)      11       11           16  boulder clint-2     
  (   -6,    41)      11       11           15  boulder clint-2     
  (   -5,    41)      11       11           15  boulder clint-2     
  (   -4,    41)      10       10           13  boulder clint-2     -1
  (   -3,    41)      11       11           11                      +1
  (   -2,    41)      11       11           11                      
  (   -1,    41)      10       10           10                      -1
  (    0,    41)      11       11           11                      +1
  (    1,    41)      11       11           11                      
  (    2,    41)      10       10           10                      -1
  (    3,    41)      11       11           11                      +1
  (    4,    41)      11       11           11                      
  (    5,    41)      11       11           11                      
rises 3, falls 4, worst step 3: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder clint-2 at (-10, 41)

## clint-2 (boulder) along z
TRANSECT 25 stations from (-7, 29) to (-7, 53), every 1
  station        ground  surface  water  top  standing            step
  (   -7,    29)      11       11           11                      
  (   -7,    30)      11       11           11                      
  (   -7,    31)      11       11           11                      
  (   -7,    32)      11       11           11                      
  (   -7,    33)      11       11           11                      
  (   -7,    34)      11       11           11                      
  (   -7,    35)      11       11           11                      
  (   -7,    36)      11       11           11                      
  (   -7,    37)      11       11           11                      
  (   -7,    38)      11       11           11                      
  (   -7,    39)      11       11           14  boulder clint-2     
  (   -7,    40)      11       11           15  boulder clint-2     
  (   -7,    41)      11       11           16  boulder clint-2     
  (   -7,    42)      11       11           15  boulder clint-2     
  (   -7,    43)      11       11           14  boulder clint-2     
  (   -7,    44)      11       11           11                      
  (   -7,    45)      14       14           14                      BARRIER +3
  (   -7,    46)      15       15           15                      +1
  (   -7,    47)      16       16           16                      +1
  (   -7,    48)      16       16           16                      
  (   -7,    49)      16       16           16                      
  (   -7,    50)      17       17           17                      +1
  (   -7,    51)      17       17           17                      
  (   -7,    52)      18       18           18                      +1
  (   -7,    53)      19       19           19                      +1
rises 6, falls 0, worst step 3: 1 barrier, 0 scramble, 0 drop — BARRIER +3 at (-7, 45) | walked end to end
beside: boulder clint-2 at (-9, 39), tree thorn-3 at (-5, 55)
