## spawn-blue (spawn) along x
TRANSECT 42 stations from (-18, -108) to (23, -108), every 1
  station        ground  surface  water  top  standing            step
  (  -18,  -108)                                                    void
  (  -17,  -108)                                                    void
  (  -16,  -108)                                                    void
  (  -15,  -108)                                                    void
  (  -14,  -108)                                                    void
  (  -13,  -108)                                                    void
  (  -12,  -108)                                                    void
  (  -11,  -108)                                                    void
  (  -10,  -108)      16       16           16                      
  (   -9,  -108)      16       16           19  ironcube spawn-1:1#1  
  (   -8,  -108)      16       16           19  ironcube spawn-1:1#1  
  (   -7,  -108)      16       16           19  ironcube spawn-1:1#1  
  (   -6,  -108)      16       16           16                      
  (   -5,  -108)      16       16           16                      
  (   -4,  -108)      16       16           26  spawn spawn-1#1     
  (   -3,  -108)      16       16           26  spawn spawn-1#1     
  (   -2,  -108)      16       16           26  spawn spawn-1#1     
  (   -1,  -108)      16       16           26  spawn spawn-1#1     
  (    0,  -108)      16       16           26  spawn spawn-1#1     
  (    1,  -108)      16       16           26  spawn spawn-1#1     
  (    2,  -108)      16       16           26  spawn spawn-1#1     
  (    3,  -108)      16       16           26  spawn spawn-1#1     
  (    4,  -108)      16       16           26  spawn spawn-1#1     
  (    5,  -108)      16       16           26  spawn spawn-1#1     
  (    6,  -108)      16       16           26  spawn spawn-1#1     
  (    7,  -108)      16       16           26  spawn spawn-1#1     
  (    8,  -108)      16       16           26  spawn spawn-1#1     
  (    9,  -108)      16       16           16                      
  (   10,  -108)      16       16           16                      
  (   11,  -108)      16       16           19  ironcube spawn-1:0#1  
  (   12,  -108)      16       16           19  ironcube spawn-1:0#1  
  (   13,  -108)      16       16           19  ironcube spawn-1:0#1  
  (   14,  -108)      16       16           16                      
  (   15,  -108)                                                    void
  (   16,  -108)                                                    void
  (   17,  -108)                                                    void
  (   18,  -108)                                                    void
  (   19,  -108)                                                    void
  (   20,  -108)                                                    void
  (   21,  -108)                                                    void
  (   22,  -108)                                                    void
  (   23,  -108)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: ironcube spawn-1:1#1 at (-9, -110), spawn spawn-1#1 at (-4, -110), ironcube spawn-1:0#1 at (11, -110)

## spawn-blue (spawn) along z
TRANSECT 24 stations from (2, -115) to (2, -92), every 1
  station        ground  surface  water  top  standing            step
  (    2,  -115)      16       16           16                      
  (    2,  -114)      16       16           26  spawn spawn-1#1     
  (    2,  -113)      16       16           26  spawn spawn-1#1     
  (    2,  -112)      16       16           26  spawn spawn-1#1     
  (    2,  -111)      16       16           26  spawn spawn-1#1     
  (    2,  -110)      16       16           26  spawn spawn-1#1     
  (    2,  -109)      16       16           26  spawn spawn-1#1     
  (    2,  -108)      16       16           26  spawn spawn-1#1     
  (    2,  -107)      16       16           26  spawn spawn-1#1     
  (    2,  -106)      16       16           26  spawn spawn-1#1     
  (    2,  -105)      16       16           26  spawn spawn-1#1     
  (    2,  -104)      16       16           26  spawn spawn-1#1     
  (    2,  -103)      16       16           16                      
  (    2,  -102)      16       16           16                      
  (    2,  -101)      16       16           16                      
  (    2,  -100)      16       16           16                      
  (    2,   -99)      16       16           16                      
  (    2,   -98)      16       16           16                      
  (    2,   -97)      16       16           16                      
  (    2,   -96)      16       16           16                      
  (    2,   -95)      16       16           16                      
  (    2,   -94)      16       16           16  stroke trod#1       
  (    2,   -93)      16       16           16  stroke trod#1       
  (    2,   -92)      16       16           16  stroke trod#1       
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (0, -114), stroke trod#1 at (0, -96)
