      |       -1         0         1       |
      | 7654321098765432101234567890123456 |
  -38 |                  UUUU              |
  -37 |                  UU¤U              |
  -36 |                  GGGG              |
  -35 |                  GGGG              |
  -34 |                  GGGG              |
  -33 |          SSSS    GGGG              |
  -32 |          SS@S    GGGG              |
  -31 |          DDDD    GGGG              |
  -30 |         AAAAAAAAAAAAAAAAA          |
  -29 |         AAAAAAAAAAAAAAAAA    WWWW  |
  -28 |         AAAAAAAAAAAAAAAAA    WW¤W  |
  -27 |         AAAAAAAAAAAAAAAAAEEEEEEEE  |
  -26 | FFFFFFFFCCCCCooooBBBBBBBBEEEEEEEE  |
  -25 | FFFFFFFFCCCCCooooBBBBBBBBEEEEEEEE  |
  -24 | FFFFFFFFCCCCCooooBBBBBBBBEEEEEEEE  |
  -23 | FFFFFFFFCCCCCooooBBBBBBBB          |
  -22 | VVVV    CCCCCooooBBBBBBBB          |
  -21 | VV¤V    CCCCCooooBBBBBBBB          |
  -20 |         CCCCCooooBBBBBBBB          |
  -19 |         CCCCCooooBBBBBBBB          |
  -18 |          HHHHHHHHHHHHHHHH          |
  -17 |          HHHHHHHHHHHHHHHH          |
  -16 |          HHHHHHHHHHHHHHHH          |
  -15 |          HHHHHHHHHHHHHHHH          |
  -14 |          HHHHHHHHHHHHHHHH          |
  -13 |          HHHHHHHHHHHHHHHH          |
  -12 |          ++++++++++++++++          |
  -11 |          ++++++++++++++++          |
  -10 |          ++++++++++++++++          |
   -9 |          ++++JJJJJJJ+++++          |
   -8 |          ++++JJJJJJJ+++++          |
   -7 |          ++++JJJJJJJ+++++          |
   -6 |          ++++JJJJJJJ+++++          |
   -5 |          ++++JJJJJJJ+++++          |
   -4 |          ++++JJJJJJJ+++++          |
   -3 |          ++++++++++++++++          |
   -2 |          ++++++++++++++++          |
   -1 |          ++++++++++++++++          |
    0 |          ++++++++++++++++          |
    1 |          ++++++++++++++++          |
    2 |          ++++++++++++++++          |
    3 |          +++++JJJJJJJ++++          |
    4 |          +++++JJJJJJJ++++          |
    5 |          +++++JJJJJJJ++++          |
    6 |          +++++JJJJJJJ++++          |
    7 |          +++++JJJJJJJ++++          |
    8 |          +++++JJJJJJJ++++          |
    9 |          ++++++++++++++++          |
   10 |          ++++++++++++++++          |
   11 |          ++++++++++++++++          |
   12 |          HHHHHHHHHHHHHHHH          |
   13 |          HHHHHHHHHHHHHHHH          |
   14 |          HHHHHHHHHHHHHHHH          |
   15 |          HHHHHHHHHHHHHHHH          |
   16 |          HHHHHHHHHHHHHHHH          |
   17 |          HHHHHHHHHHHHHHHH          |
   18 |          BBBBBBBBooooCCCCC         |
   19 |          BBBBBBBBooooCCCCC         |
   20 |          BBBBBBBBooooCCCCC    VVVV |
   21 |          BBBBBBBBooooCCCCC    VV¤V |
   22 |          BBBBBBBBooooCCCCCFFFFFFFF |
   23 |  EEEEEEEEBBBBBBBBooooCCCCCFFFFFFFF |
   24 |  EEEEEEEEBBBBBBBBooooCCCCCFFFFFFFF |
   25 |  EEEEEEEEBBBBBBBBooooCCCCCFFFFFFFF |
   26 |  EEEEEEEEAAAAAAAAAAAAAAAAA         |
   27 |  WWWW    AAAAAAAAAAAAAAAAA         |
   28 |  WW¤W    AAAAAAAAAAAAAAAAA         |
   29 |          AAAAAAAAAAAAAAAAA         |
   30 |              GGGG    DDDD          |
   31 |              GGGG    SSSS          |
   32 |              GGGG    SS@S          |
   33 |              GGGG                  |
   34 |              GGGG                  |
   35 |              GGGG                  |
   36 |              UUUU                  |
   37 |              UU¤U                  |
      34 × 76 cells drawn  ·  34 × 76 cells = 136 × 304 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D spawn-t1 (piece)   
      E wool-a-t1 (piece)   F wool-b-t1 (piece)   G wool-c-t1 (piece)   H frontline-t1 (piece)   
      J mid-stone-0 (piece)   S spawn-room (spawn)   U wool-c-room (wool-room)   
      V wool-b-room (wool-room)   W wool-a-room (wool-room)   ¤ wool   
