      |  -2        -1         0         1       |
      | 210987654321098765432101234567890123456 |
  -33 |                        FFFFWW           |
  -32 |                        FFFFWW           |
  -31 |                        FFFFW¤           |
  -30 |                        FFFFWW           |
  -29 |                        FFFF             |
  -28 |                        FFFF             |
  -27 |                        FFFF             |
  -26 |                        FFFF             |
  -25 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
  -24 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
  -23 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
  -22 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
  -21 | HHHHGGGGGCCCCooooooooooooooooooDDDD     |
  -20 | HHHHGGGGGCCCCooooooooooooooooooDDDD     |
  -19 | HHHHGGGGGCCCCooooooooooooooooooDDDD     |
  -18 | HHHHGGGGGCCCCooooooooooooooooooDDDDEESS |
  -17 | HHHH     CCCCooooooooooooooooooDDDDEESS |
  -16 | HHHH     CCCCooooooooooooooooooDDDDEES@ |
  -15 | HHHH     CCCCooooooooooooooooooDDDDEESS |
  -14 | VVVV     CCCCooooooooooooooooooDDDD     |
  -13 | VV¤V     CCCCooooooooooooooooooDDDD     |
  -12 |          CCCCooooooooooooooooooDDDD     |
  -11 |          CCCCooooooooooooooooooDDDD     |
  -10 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
   -9 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
   -8 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
   -7 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
   -6 |          ++++++++++++++++++++++++++     |
   -5 |          ++++++++++++++++++++++++++     |
   -4 |          ++++++++++++++++++++++++++     |
   -3 |          +JJJJJJ+++KKKKKK+++LLLLLL+     |
   -2 |          +JJJJJJ+++KKKKKK+++LLLLLL+     |
   -1 |          +JJJJJJ+++KKKKKK+++LLLLLL+     |
    0 |          +JJJJJJ+++KKKKKK+++LLLLLL+     |
    1 |          +JJJJJJ+++KKKKKK+++LLLLLL+     |
    2 |          +JJJJJJ+++KKKKKK+++LLLLLL+     |
    3 |          ++++++++++++++++++++++++++     |
    4 |          ++++++++++++++++++++++++++     |
    5 |          ++++++++++++++++++++++++++     |
    6 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
    7 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
    8 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
    9 |          BBBBBBBBBBBBBBBBBBBBBBBBBB     |
   10 |          CCCCooooooooooooooooooDDDD     |
   11 |          CCCCooooooooooooooooooDDDD     |
   12 | VVVV     CCCCooooooooooooooooooDDDD     |
   13 | VV¤V     CCCCooooooooooooooooooDDDD     |
   14 | HHHH     CCCCooooooooooooooooooDDDDEESS |
   15 | HHHH     CCCCooooooooooooooooooDDDDEESS |
   16 | HHHH     CCCCooooooooooooooooooDDDDEES@ |
   17 | HHHHGGGGGCCCCooooooooooooooooooDDDDEESS |
   18 | HHHHGGGGGCCCCooooooooooooooooooDDDD     |
   19 | HHHHGGGGGCCCCooooooooooooooooooDDDD     |
   20 | HHHHGGGGGCCCCooooooooooooooooooDDDD     |
   21 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
   22 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
   23 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
   24 |          AAAAAAAAAAAAAAAAAAAAAAAAAA     |
   25 |                        FFFF             |
   26 |                        FFFF             |
   27 |                        FFFF             |
   28 |                        FFFF             |
   29 |                        FFFFWW           |
   30 |                        FFFFWW           |
   31 |                        FFFFW¤           |
   32 |                        FFFFWW           |
      39 × 66 cells drawn  ·  39 × 66 cells = 156 × 264 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-b-t1 (piece)   H wool-b-t2 (piece)   
      J mid-stone-0 (piece)   K mid-stone-1 (piece)   L mid-stone-2 (piece)   
      S spawn-room (spawn)   V wool-b-room (wool-room)   W wool-a-room (wool-room)   ¤ wool   
