## spawn-red -> red-0
ROUTE (64, 64) -> (24, 124) aim travel: 86 blocks, 4 placed, 1 drop(s), worst drop 7
  place            y   step
  (64, 64)          18
  (63, 64)          18
  (62, 64)          18
  (61, 64)          18
  (60, 64)          18
  (59, 64)          18
  (58, 64)          18
  (57, 64)          18
  (56, 65)          18
  (55, 66)          18
  (54, 67)          18
  (53, 68)          18
  (52, 69)          18
  (51, 70)          18
  (50, 71)          18
  (49, 72)          18
  (48, 73)          19
  (47, 74)          19
  (46, 75)          19
  (45, 76)          19
  (44, 77)          19
  (43, 78)          19
  (42, 79)          19
  (41, 80)          19
  (40, 81)          19
  (39, 82)          19
  (38, 83)          19
  (37, 84)          19
  (36, 85)          19
  (35, 86)          19
  (34, 86)          19
  (33, 86)          19
  (32, 86)          19
  (31, 87)          19
  (30, 88)          19
  (29, 89)          20
  (28, 90)          20
  (27, 91)          20
  (26, 92)          20
  (25, 93)          21
  (24, 94)          21
  (23, 95)          21
  (22, 96)          21
  (21, 97)          21
  (20, 98)          22
  (19, 99)          20
  (19, 100)         20
  (19, 101)         20
  (19, 102)         20
  (19, 103)         20
  (19, 104)         20
  (19, 105)         20
  (19, 106)         20
  (19, 107)         20
  (19, 108)         20
  (19, 109)         19
  (19, 110)         19
  (19, 111)         19
  (19, 112)         19
  (19, 113)         19
  (19, 114)         18
  (19, 115)         18
  (19, 116)         18
  (19, 117)         18
  (19, 118)         18
  (19, 119)         18
  (20, 120)         23   barrier +5
  (21, 121)         24
  (22, 122)         25
  (23, 123)         18   drop -7
  (24, 124)         18
rises 1, falls 1, worst step 7: barrier +5 at (20, 120); drop -7 at (23, 123)
beside: spawn spawn-1 at (61, 64) d0, wool wool-1 at (21, 121) d0

## spawn-red -> orange-0
ROUTE (64, 64) -> (-80, 52) aim travel: 171 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (64, 64)          18
  (63, 64)          18
  (62, 64)          18
  (61, 64)          18
  (60, 64)          18
  (59, 64)          18
  (58, 64)          18
  (57, 64)          18
  (56, 64)          18
  (55, 65)          18
