## fall-6 (boulder) along x
TRANSECT 15 stations from (-45, 22) to (-31, 22), every 1
  station        ground  surface  water  top  standing            step
  (  -45,    22)      10       10           15  boulder fall-6      
  (  -44,    22)      10       10           16  boulder fall-6      
  (  -43,    22)      10       10           16  boulder fall-6      
  (  -42,    22)      10       10           16  boulder fall-6      
  (  -41,    22)      10       10           15  boulder fall-6      
  (  -40,    22)      10       10           14  boulder fall-6      
  (  -39,    22)      10       10           13  boulder fall-6      
  (  -38,    22)      10       10           10                      
  (  -37,    22)      10       10           10                      
  (  -36,    22)      10       10           10                      
  (  -35,    22)      10       10           10                      
  (  -34,    22)      10       10           10                      
  (  -33,    22)      10       10           10                      
  (  -32,    22)      10       10           10                      
  (  -31,    22)      10       10           10                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder fall-6 at (-46, 20)

## fall-6 (boulder) along z
TRANSECT 25 stations from (-43, 10) to (-43, 34), every 1
  station        ground  surface  water  top  standing            step
  (  -43,    10)      10       10           10                      
  (  -43,    11)      10       10           10                      
  (  -43,    12)      10       10           10                      
  (  -43,    13)      10       10           10                      
  (  -43,    14)      10       10           10                      
  (  -43,    15)      10       10           10                      
  (  -43,    16)      10       10           10                      
  (  -43,    17)      10       10           10                      
  (  -43,    18)      10       10           10                      
  (  -43,    19)      10       10           15  boulder fall-6      
  (  -43,    20)      10       10           15  boulder fall-6      
  (  -43,    21)      10       10           16  boulder fall-6      
  (  -43,    22)      10       10           16  boulder fall-6      
  (  -43,    23)      10       10           16  boulder fall-6      
  (  -43,    24)      10       10           15  boulder fall-6      
  (  -43,    25)      10       10           14  boulder fall-6      
  (  -43,    26)      10       10           12  boulder fall-6      
  (  -43,    27)      10       10           10                      
  (  -43,    28)      10       10           10                      
  (  -43,    29)      10       10           10                      
  (  -43,    30)      19       19           19                      BARRIER +9
  (  -43,    31)      19       19           19                      
  (  -43,    32)      20       20           20                      +1
  (  -43,    33)      20       20           20                      
  (  -43,    34)      21       21           21                      +1
rises 3, falls 0, worst step 9: 1 barrier, 0 scramble, 0 drop — BARRIER +9 at (-43, 30) | walked end to end
beside: boulder fall-6 at (-45, 19)
