      | -1         0         1 |
      | 1098765432101234567890 |
  -20 | AAAAAAAAASSSSAAAAAAAAA |
  -19 | AAAAAAAAASSSSAAAAAAAAA |
  -18 | AAAAAAAAASS@SAAAAAAAAA |
  -17 | AAAAAAAAASSSSAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAOAAAAAAAAAAAOAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAA |
   -8 |  ++++++++++++++++++++  |
   -7 |  ++++++++++++++++++++  |
   -6 |  ++++++++++++++++++++  |
   -5 |  ++++++++++++++++++++  |
   -4 |    BBBBBBBBBBBBBBBB    |
   -3 |    BBBBBBBBBBBBBBBB    |
   -2 |    BBBBBBBBBBBBBBBB    |
   -1 |    BBBBBBBBBBBBBBBB    |
    0 |    BBBBBBBBBBBBBBBB    |
    1 |    BBBBBBBBBBBBBBBB    |
    2 |    BBBBBBBBBBBBBBBB    |
    3 |    BBBBBBBBBBBBBBBB    |
    4 |  ++++++++++++++++++++  |
    5 |  ++++++++++++++++++++  |
    6 |  ++++++++++++++++++++  |
    7 |  ++++++++++++++++++++  |
    8 | AAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAOAAAAAAAAAAAOAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAASSSSAAAAAAAAA |
   17 | AAAAAAAAASSSSAAAAAAAAA |
   18 | AAAAAAAAASS@SAAAAAAAAA |
   19 | AAAAAAAAASSSSAAAAAAAAA |
      22 × 40 cells drawn  ·  22 × 40 cells = 110 × 200 blocks  ·  cell 5
      @ spawn   A field (piece)   B midway (piece)   O core   S keep (spawn)   
