## h-granary (house) along x
TRANSECT 25 stations from (-31, 54) to (-7, 54), every 1
  station        ground  surface  water  top  standing            step
  (  -31,    54)      15       15           21  house h-west-g      
  (  -30,    54)      15       15           22  house h-west-g      
  (  -29,    54)      15       15           21  house h-west-g      
  (  -28,    54)      15       15           20  house h-west-g      
  (  -27,    54)      15       15           19  house h-west-g      
  (  -26,    54)      15       15           15                      
  (  -25,    54)      15       15           15                      
  (  -24,    54)      15       15           21  house h-granary     
  (  -23,    54)      15       15           22  house h-granary     
  (  -22,    54)      15       15           23  house h-granary     
  (  -21,    54)      15       15           24  house h-granary     
  (  -20,    54)      15       15           25  house h-granary     
  (  -19,    54)      15       15           26  house h-granary     
  (  -18,    54)      15       15           27  house h-granary     
  (  -17,    54)      15       15           28  house h-granary     
  (  -16,    54)      15       15           29  house h-granary     
  (  -15,    54)      15       15           30  house h-granary     
  (  -14,    54)      15       15           30  house h-granary     
  (  -13,    54)      15       15           15                      
  (  -12,    54)      15       15           15                      
  (  -11,    54)      15       15           15                      
  (  -10,    54)      15       15           15                      
  (   -9,    54)      15       15           15                      
  (   -8,    54)      15       15           15                      
  (   -7,    54)      15       15           15                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: house h-west-g at (-33, 52), house h-granary at (-24, 52), house h-stall-a at (-12, 52), house h-stall-b at (-12, 55)

## h-granary (house) along z
TRANSECT 31 stations from (-19, 39) to (-19, 69), every 1
  station        ground  surface  water  top  standing            step
  (  -19,    39)      15       15           15                      
  (  -19,    40)      15       15           15                      
  (  -19,    41)      15       15           15                      
  (  -19,    42)      15       15           15  stroke st-market    
  (  -19,    43)      15       15           15  stroke st-market    
  (  -19,    44)      15       15           15  stroke st-market    
  (  -19,    45)      15       15           15  stroke st-market    
  (  -19,    46)      15       15           26  house h-granary     
  (  -19,    47)      15       15           26  house h-granary     
  (  -19,    48)      15       15           26  house h-granary     
  (  -19,    49)      15       15           26  house h-granary     
  (  -19,    50)      15       15           26  house h-granary     
  (  -19,    51)      15       15           26  house h-granary     
  (  -19,    52)      15       15           26  house h-granary     
  (  -19,    53)      15       15           26  house h-granary     
  (  -19,    54)      15       15           26  house h-granary     
  (  -19,    55)      15       15           26  house h-granary     
  (  -19,    56)      15       15           26  house h-granary     
  (  -19,    57)      15       15           26  house h-granary     
  (  -19,    58)      15       15           26  house h-granary     
  (  -19,    59)      15       15           26  house h-granary     
  (  -19,    60)      15       15           26  house h-granary     
  (  -19,    61)      15       15           26  house h-granary     
  (  -19,    62)      15       15           26  house h-granary     
  (  -19,    63)      15       15           15                      
  (  -19,    64)      15       15           15                      
  (  -19,    65)      15       15           15                      
  (  -19,    66)      15       15           15                      
  (  -19,    67)      15       15           15                      
  (  -19,    68)      15       15           15                      
  (  -19,    69)      15       15           15                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke st-postern-w at (-21, 37), house h-south-b at (-18, 37), stroke st-market at (-19, 42), house h-granary at (-21, 46), tree t-green-b at (-17, 65), redstoneline 0 at (-21, 70)
