      |         0        |
      | 8765432101234567 |
  -20 |      SSSSSS      |
  -19 |      iSS@Si      |
  -18 |      SSSSSS      |
  -17 | AAAAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAA |
  -11 | AAAA!AAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAA |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 | AAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAA!AAA |
   11 | AAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAAAA |
   17 |      SSSSSS      |
   18 |      iSS@Si      |
   19 |      SSSSSS      |
      16 × 40 cells drawn  ·  16 × 40 cells = 80 × 200 blocks  ·  cell 5
      ! destroyable   @ spawn   A fell (piece)   S bield (spawn)   i iron   
