      |        1         0         1       |
      | 7654321098765432101234567890123456 |
  -32 |        CCCCCC        AAAAAA        |
  -31 |        CCCCCCSSSSSSSSAAAAAA        |
  -30 |        CCCCCCSSSSSSSSAAAAAA        |
  -29 |        CCCCCCSSSSSSSSAAAAAA        |
  -28 |        CCCCCCSSSSSSSSAAAAAA        |
  -27 |        CCCCCCSSSS@SSSAAAAAA        |
  -26 |        CCCCCCSSSSSSSSAAAAAA        |
  -25 |        CCCCCCSSSSSSSSAAAAAA        |
  -24 |        CCCCCCSSSSSSSSAAAAAA        |
  -23 |        CCCCCCBBBBBBBBAAAAAA        |
  -22 |  ++++++++++++oooooooo++++++++++++  |
  -21 |  ++++++++++++oooooooo++++++++++++  |
  -20 |  ++++++++++++oooooooo++++++++++++  |
  -19 |  ++++++++++++oooooooo++++++++++++  |
  -18 |  ++++++++++++oooooooo++++++++++++  |
  -17 |  GGFFFFFFFFDD++++++++++++++++++++  |
  -16 |  GGWWWWWWWWDD++++++++++++++++++++  |
  -15 |  GGWWWWWWWWDD++++++++++++++++++++  |
  -14 |  GGWWWW¤WWWDD++++++++HHHHHHHHHHHH  |
  -13 |  GGWWWWWWWWDD++++++++HHHHHHHHHHHH  |
  -12 |  GGWWWWWWWWDD++++++++HHHHHHHHHHHH  |
  -11 |  GGEEEEEEEEDD++++++++HHHHHHHHHHHH  |
  -10 |              ++++++++HHHHHHOHHHHH  |
   -9 |              ++++++++HHHHHHHHHHHH  |
   -8 |              ++++++++HHHHHHHHHHHH  |
   -7 |              ++++++++HHHHHHHHHHHH  |
   -6 | ++++++++++++++++++++++++++++++++++ |
   -5 | ++++++++++++++++++++++++++++++++++ |
   -4 | ++++++++++++++++++++++++++++++++++ |
   -3 | ++++++++++++++++++++++++++++++++++ |
   -2 | ++++++++++++++++++++++++++++++++++ |
   -1 | ++++++++++++++++++++++++++++++++++ |
    0 | ++++++++++++++++++++++++++++++++++ |
    1 | ++++++++++++++++++++++++++++++++++ |
    2 | ++++++++++++++++++++++++++++++++++ |
    3 | ++++++++++++++++++++++++++++++++++ |
    4 | ++++++++++++++++++++++++++++++++++ |
    5 | ++++++++++++++++++++++++++++++++++ |
    6 |  HHHHHHHHHHHH++++++++              |
    7 |  HHHHHHHHHHHH++++++++              |
    8 |  HHHHHHHHHHHH++++++++              |
    9 |  HHHHHHHHHHHH++++++++              |
   10 |  HHHHHHOHHHHH++++++++DDEEEEEEEEGG  |
   11 |  HHHHHHHHHHHH++++++++DDWWWWWWWWGG  |
   12 |  HHHHHHHHHHHH++++++++DDWWWWWWWWGG  |
   13 |  HHHHHHHHHHHH++++++++DDWWWWWWWWGG  |
   14 |  ++++++++++++++++++++DDWWWW¤WWWGG  |
   15 |  ++++++++++++++++++++DDWWWWWWWWGG  |
   16 |  ++++++++++++++++++++DDFFFFFFFFGG  |
   17 |  ++++++++++++oooooooo++++++++++++  |
   18 |  ++++++++++++oooooooo++++++++++++  |
   19 |  ++++++++++++oooooooo++++++++++++  |
   20 |  ++++++++++++oooooooo++++++++++++  |
   21 |  ++++++++++++oooooooo++++++++++++  |
   22 |        AAAAAABBBBBBBBCCCCCC        |
   23 |        AAAAAASSSSSSSSCCCCCC        |
   24 |        AAAAAASSSSSSSSCCCCCC        |
   25 |        AAAAAASSSSSSSSCCCCCC        |
   26 |        AAAAAASSSSSSSSCCCCCC        |
   27 |        AAAAAASSSS@SSSCCCCCC        |
   28 |        AAAAAASSSSSSSSCCCCCC        |
   29 |        AAAAAASSSSSSSSCCCCCC        |
   30 |        AAAAAASSSSSSSSCCCCCC        |
   31 |        AAAAAA        CCCCCC        |
      34 × 64 cells drawn  ·  34 × 64 cells = 68 × 128 blocks  ·  cell 2
      @ spawn   A home-w (piece)   B home-s (piece)   C home-e (piece)   D fold-w (piece)   
      E fold-s (piece)   F fold-n (piece)   G fold-e (piece)   H spike (piece)   O core   
      S camp (spawn)   W wool-room (wool-room)   ¤ wool   
