## portway (made) along x
TRANSECT 62 stations from (-28, 30) to (33, 30), every 1
  station        ground  surface  water  top  standing            step
  (  -28,    30)                                                    void
  (  -27,    30)                                                    void
  (  -26,    30)                                                    void
  (  -25,    30)                                                    void
  (  -24,    30)                                                    void
  (  -23,    30)                                                    void
  (  -22,    30)                                                    void
  (  -21,    30)                                                    void
  (  -20,    30)                                                    void
  (  -19,    30)                                                    void
  (  -18,    30)      13       13           13                      
  (  -17,    30)      13       13           13                      
  (  -16,    30)      13       13           13                      
  (  -15,    30)      13       13           13                      
  (  -14,    30)      13       13           13                      
  (  -13,    30)      13       13           13                      
  (  -12,    30)      12       12           12                      -1
  (  -11,    30)      12       12           12                      
  (  -10,    30)      12       12           12                      
  (   -9,    30)      12       12           12                      
  (   -8,    30)      12       12           12                      
  (   -7,    30)      12       12           12                      
  (   -6,    30)      12       12           12                      
  (   -5,    30)      12       12           12                      
  (   -4,    30)      12       12           12                      
  (   -3,    30)      12       12           12                      
  (   -2,    30)      13       13           13                      +1
  (   -1,    30)      13       13           13                      
  (    0,    30)      13       13           13                      
  (    1,    30)      13       13           13                      
  (    2,    30)      13       13           13                      
  (    3,    30)      13       13           13                      
  (    4,    30)      13       13           13                      
  (    5,    30)      13       13           13                      
  (    6,    30)      13       13           13                      
  (    7,    30)      13       13           13                      
  (    8,    30)      13       13           13                      
  (    9,    30)      13       13           13                      
  (   10,    30)      13       13           13                      
  (   11,    30)      13       13           13                      
  (   12,    30)      13       13           13                      
  (   13,    30)      13       13           13                      
  (   14,    30)      13       13           13                      
  (   15,    30)      13       13           13                      
  (   16,    30)      13       13           13                      
  (   17,    30)      13       13           13                      
  (   18,    30)      13       13           13                      
  (   19,    30)      13       13           13                      
  (   20,    30)      13       13           13                      
  (   21,    30)      13       13           13                      
  (   22,    30)      13       13           13                      
  (   23,    30)      13       13           13                      
  (   24,    30)      13       13           13                      
  (   25,    30)                                                    void
  (   26,    30)                                                    void
  (   27,    30)                                                    void
  (   28,    30)                                                    void
  (   29,    30)                                                    void
  (   30,    30)                                                    void
  (   31,    30)                                                    void
  (   32,    30)                                                    void
  (   33,    30)                                                    void
rises 1, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)

## portway (made) along z
TRANSECT 47 stations from (2, 7) to (2, 53), every 1
  station        ground  surface  water  top  standing            step
  (    2,     7)                                                    void
  (    2,     8)                                                    void
  (    2,     9)                                                    void
  (    2,    10)                                                    void
  (    2,    11)                                                    void
  (    2,    12)                                                    void
  (    2,    13)                                                    void
  (    2,    14)                                                    void
  (    2,    15)                                                    void
  (    2,    16)                             2                      void
  (    2,    17)                                                    void
  (    2,    18)                                                    void
  (    2,    19)                                                    void
  (    2,    20)                                                    void
  (    2,    21)                                                    void
  (    2,    22)                                                    void
  (    2,    23)                                                    void
  (    2,    24)                                                    void
  (    2,    25)      13       13           13                      
  (    2,    26)      13       13           13                      
  (    2,    27)      13       13           13                      
  (    2,    28)      13       13           13                      
  (    2,    29)      13       13           13                      
  (    2,    30)      13       13           13                      
  (    2,    31)      13       13           13                      
  (    2,    32)      13       13           13                      
  (    2,    33)      13       13           13                      
  (    2,    34)      13       13           13                      
  (    2,    35)      13       13           13                      
  (    2,    36)      13       13           13                      
  (    2,    37)      13       13           13                      
  (    2,    38)      13       13           13                      
  (    2,    39)      13       29           29  storey              BARRIER +16
  (    2,    40)      13       29           29  storey              
  (    2,    41)      13       29           29  storey              
  (    2,    42)      13       29           29  storey              
  (    2,    43)      13       29           29  storey              
  (    2,    44)      13       29           29  storey              
  (    2,    45)      13       13           13                      DROP -16
  (    2,    46)      12       12           12                      -1
  (    2,    47)      12       12           12                      
  (    2,    48)      12       12           12  stroke way          
  (    2,    49)      12       12           12  stroke way          
  (    2,    50)      13       13           13  stroke way          +1
  (    2,    51)      13       13           13  stroke way          
  (    2,    52)      13       13           13  stroke way          
  (    2,    53)      13       13           13  stroke way          
rises 2, falls 2, worst step 16: 1 barrier, 0 scramble, 1 drop — BARRIER +16 at (2, 39); DROP -16 at (2, 45) | walked end to end
beside: stroke way at (0, 48)
