      |       0      |
      | 654321012345 |
  -30 |  SSSSS       |
  -29 |  SSSSS       |
  -28 |  SS@SS       |
  -27 |  SSSSS       |
  -26 |  SSSSS       |
  -25 |  SSiSS       |
  -24 | AAAAAAAAAAAA |
  -23 | AAAAAAAAAAAA |
  -22 | AAAAAAAAAAAA |
  -21 | AAAAAAAAAAAA |
  -20 | AAAAAAAAAAAA |
  -19 | AAAAAAAAAAAA |
  -18 | AAAAAAAAAAAA |
  -17 | AAAAAAAAAAAA |
  -16 | AAAAAAAOAAAA |
  -15 | AAAAAAAAAAAA |
  -14 | AAAAAAAAAAAA |
  -13 | AAAAAAAAAAAA |
  -12 | AAAAAAAAAAAA |
  -11 | AAAAAAAAAAAA |
  -10 | AAAAAAAAAAAA |
   -9 | AAAAAAAAAAAA |
   -8 | AAAAAAAAAAAA |
   -7 | AAAAAAAAAAAA |
   -6 | AAAAAAAAAAAA |
   -5 | AAAAAAAAAAAA |
   -4 | ++++++++++++ |
   -3 | ++++++++++++ |
   -2 | ++++++++++++ |
   -1 | ++++++++++++ |
    0 | ++++++++++++ |
    1 | ++++++++++++ |
    2 | ++++++++++++ |
    3 | ++++++++++++ |
    4 | AAAAAAAAAAAA |
    5 | AAAAAAAAAAAA |
    6 | AAAAAAAAAAAA |
    7 | AAAAAAAAAAAA |
    8 | AAAAAAAAAAAA |
    9 | AAAAAAAAAAAA |
   10 | AAAAAAAAAAAA |
   11 | AAAAAAAAAAAA |
   12 | AAAAAAAAAAAA |
   13 | AAAAAAAAAAAA |
   14 | AAAAAAAAAAAA |
   15 | AAAAAOAAAAAA |
   16 | AAAAAAAAAAAA |
   17 | AAAAAAAAAAAA |
   18 | AAAAAAAAAAAA |
   19 | AAAAAAAAAAAA |
   20 | AAAAAAAAAAAA |
   21 | AAAAAAAAAAAA |
   22 | AAAAAAAAAAAA |
   23 | AAAAAAAAAAAA |
   24 |       SSiSS  |
   25 |       SSSSS  |
   26 |       SSSSS  |
   27 |       SS@SS  |
   28 |       SSSSS  |
   29 |       SSSSS  |
      12 × 60 cells drawn  ·  12 × 60 cells = 48 × 240 blocks  ·  cell 4
      @ spawn   A slack (piece)   O core   S spawn (spawn)   i iron   
