      | 1         0          |
      | 09876543210123456789 |
  -10 | AAAAAAAASSSSAAAAAAAA |
   -9 | AAAAAAAASSSSAAAAAAAA |
   -8 | AAAAAAAASS@SAAAAAAAA |
   -7 | AAAAAAAASSSSAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAA!AAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAA!AAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAASSSSAAAAAAAA |
    7 | AAAAAAAASSSSAAAAAAAA |
    8 | AAAAAAAASS@SAAAAAAAA |
    9 | AAAAAAAASSSSAAAAAAAA |
      20 × 20 cells drawn  ·  20 × 20 cells = 100 × 100 blocks  ·  cell 5
      ! destroyable   @ spawn   A field (piece)   S camp (spawn)   
