      | -1         0         1 |
      | 1098765432101234567890 |
  -17 |         FFFFEEEEEESSSS |
  -16 |         FFFFiEE@EiSSSS |
  -15 |         FFFFEEEEEESSSS |
  -14 |         DDDDCCCCCCCCCC |
  -13 |         DDDDCCCCCCCCCC |
  -12 |         DDDDCCCCCCCCCC |
  -11 |         DDDDCCCCCCCCCC |
  -10 |         DDDDCCCCCCCCCC |
   -9 |         DDDDCCCCCCCCCC |
   -8 |         BBBBBBBBBBBBBB |
   -7 |         BBBBBBBBBBBBBB |
   -6 |         BBBBBBBBBBBBBB |
   -5 |         BBBBBBBBBBBBBB |
   -4 | ++++++++++++++++++++++ |
   -3 | ++++++++++++++++++++++ |
   -2 | ++++++++!AAAAA++++++++ |
   -1 | ++++++++AAAAAA++++++++ |
    0 | ++++++++AAAAAA++++++++ |
    1 | ++++++++AAAAAA++++++++ |
    2 | ++++++++++++++!+++++++ |
    3 | ++++++++++++++++++++++ |
    4 | BBBBBBBBBBBBBB         |
    5 | BBBBBBBBBBBBBB         |
    6 | BBBBBBBBBBBBBB         |
    7 | BBBBBBBBBBBBBB         |
    8 | CCCCCCCCCCDDDD         |
    9 | CCCCCCCCCCDDDD         |
   10 | CCCCCCCCCCDDDD         |
   11 | CCCCCCCCCCDDDD         |
   12 | CCCCCCCCCCDDDD         |
   13 | CCCCCCCCCCDDDD         |
   14 | SSSSEEEEEEFFFF         |
   15 | SSSSiEE@EiFFFF         |
   16 | SSSSEEEEEEFFFF         |
      22 × 34 cells drawn  ·  22 × 34 cells = 110 × 170 blocks  ·  cell 5
      ! destroyable   @ spawn   A hill (piece)   B pasture (piece)   C platform (piece)   
      D lane (piece)   E spawn-center (piece)   F dressing (piece)   S spawn-area (spawn)   
      i iron   
