GET /api/map/technique-water/transect?points=x,z;x,z — a line through each panel. The `water` column is
the line the body stands at; where it is blank the column is dry.

### beach — the fell, the strand and the sea running off the island's edge
TRANSECT 73 stations from (-220, -80) to (-220, -8), every 1
  station        ground  surface  water  top  standing            step
  ( -220,   -80)      30       30           30                      
  ( -220,   -79)      30       30           30                      
  ( -220,   -78)      30       30           30                      
  ( -220,   -77)      30       30           30                      
  ( -220,   -76)      30       30           30                      
  ( -220,   -75)      30       30           30                      
  ( -220,   -74)      30       30           30                      
  ( -220,   -73)      30       30           30                      
  ( -220,   -72)      30       30           30                      
  ( -220,   -71)      30       30           30                      
  ( -220,   -70)      30       30           30                      
  ( -220,   -69)      30       30           30                      
  ( -220,   -68)      29       29           29                      -1
  ( -220,   -67)      29       29           29                      
  ( -220,   -66)      28       28           28                      -1
  ( -220,   -65)      28       28           28                      
  ( -220,   -64)      27       27           27                      -1
  ( -220,   -63)      27       27           27                      
  ( -220,   -62)      26       26           26                      -1
  ( -220,   -61)      26       26           26                      
  ( -220,   -60)      25       25           25                      -1
  ( -220,   -59)      25       25           25                      
  ( -220,   -58)      24       24           24                      -1
  ( -220,   -57)      24       24           24                      
  ( -220,   -56)      24       24           24                      
  ( -220,   -55)      23       23           23                      -1
  ( -220,   -54)      23       23           23                      
  ( -220,   -53)      22       22           22                      -1
  ( -220,   -52)      22       22           22                      
  ( -220,   -51)      21       21           21                      -1
  ( -220,   -50)      21       21           21                      
  ( -220,   -49)      20       20           20                      -1
  ( -220,   -48)      20       20           20                      
  ( -220,   -47)      19       19           19                      -1
  ( -220,   -46)      19       19           19                      
  ( -220,   -45)      18       18           18                      -1
  ( -220,   -44)      18       18           18                      
  ( -220,   -43)      17       17           17  water beach-sea     -1
  ( -220,   -42)      17       17           17  water beach-sea     
  ( -220,   -41)      17       17     17    17  water beach-sea     
  ( -220,   -40)      16       16     17    17  water beach-sea     -1
  ( -220,   -39)      16       16     17    17  water beach-sea     
  ( -220,   -38)      15       15     17    17  water beach-sea     -1
  ( -220,   -37)      15       15     17    17  water beach-sea     
  ( -220,   -36)      14       14     17    17  water beach-sea     -1
  ( -220,   -35)      14       14     17    17  water beach-sea     
  ( -220,   -34)      13       13     17    17  water beach-sea     -1
  ( -220,   -33)      13       13     17    17  water beach-sea     
  ( -220,   -32)      12       12     17    17  water beach-sea     -1
  ( -220,   -31)      12       12     17    17  water beach-sea     
  ( -220,   -30)      11       11     17    17  water beach-sea     -1
  ( -220,   -29)      11       11     17    17  water beach-sea     
  ( -220,   -28)      11       11     17    17  water beach-sea     
  ( -220,   -27)      11       11     17    17  water beach-sea     
  ( -220,   -26)      11       11     17    17  water beach-sea     
  ( -220,   -25)      11       11     17    17  water beach-sea     
  ( -220,   -24)      11       11     17    17  water beach-sea     
  ( -220,   -23)      11       11     17    17  water beach-sea     
  ( -220,   -22)      11       11     17    17  water beach-sea     
  ( -220,   -21)      11       11     17    17  water beach-sea     
  ( -220,   -20)      11       11     17    17  water beach-sea     
  ( -220,   -19)      11       11     17    17  water beach-sea     
  ( -220,   -18)      11       11     17    17  water beach-sea     
  ( -220,   -17)      11       11     17    17  water beach-sea     
  ( -220,   -16)      11       11     17    17  water beach-sea     
  ( -220,   -15)      11       11     17    17  water beach-sea     
  ( -220,   -14)      11       11     17    17  water beach-sea     
  ( -220,   -13)      11       11     17    17  water beach-sea     
  ( -220,   -12)      11       11     17    17  water beach-sea     
  ( -220,   -11)      11       11     17    17  water beach-sea     
  ( -220,   -10)      11       11     17    17  water beach-sea     
  ( -220,    -9)      11       11     17    17  water beach-sea     
  ( -220,    -8)      11       11     17    17  water beach-sea     
