## holm-rock-1 (boulder) along x
TRANSECT 25 stations from (-12, -9) to (12, -9), every 1
  station        ground  surface  water  top  standing            step
  (  -12,    -9)      11       11           16  tree holm-apple-0   
  (  -11,    -9)      11       11           16  tree holm-apple-0   
  (  -10,    -9)      11       11           11                      
  (   -9,    -9)      11       11           11                      
  (   -8,    -9)      11       11           11                      
  (   -7,    -9)      11       11           18  tree holm-apple-1   
  (   -6,    -9)      11       11           18  tree holm-apple-1   
  (   -5,    -9)      11       11           18  tree holm-apple-1   
  (   -4,    -9)      11       11           11                      
  (   -3,    -9)      11       11           11                      
  (   -2,    -9)      11       11           13  boulder holm-rock-1  
  (   -1,    -9)      11       11           14  boulder holm-rock-1  
  (    0,    -9)      11       11           14  boulder holm-rock-1  
  (    1,    -9)      11       11           14  boulder holm-rock-1  
  (    2,    -9)      11       11           11                      
  (    3,    -9)      11       11           11                      
  (    4,    -9)      11       11           11                      
  (    5,    -9)      11       11           11                      
  (    6,    -9)      11       11           11                      
  (    7,    -9)      11       11           11                      
  (    8,    -9)      11       11           11                      
  (    9,    -9)      11       11           11                      
  (   10,    -9)      11       11           11                      
  (   11,    -9)      11       11           11                      
  (   12,    -9)      11       11           11                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: tree holm-apple-0 at (-13, -9), tree holm-apple-1 at (-8, -8), boulder holm-rock-1 at (-2, -9), tree holm-apple-2#1 at (10, -7)

## holm-rock-1 (boulder) along z
TRANSECT 25 stations from (0, -21) to (0, 3), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -21)                                                    void
  (    0,   -20)                                                    void
  (    0,   -19)                                                    void
  (    0,   -18)                                                    void
  (    0,   -17)                                                    void
  (    0,   -16)                                                    void
  (    0,   -15)                                                    void
  (    0,   -14)                                                    void
  (    0,   -13)                                                    void
  (    0,   -12)                                                    void
  (    0,   -11)                                                    void
  (    0,   -10)      11       11           14  boulder holm-rock-1  
  (    0,    -9)      11       11           14  boulder holm-rock-1  
  (    0,    -8)      11       11           14  boulder holm-rock-1  
  (    0,    -7)      11       11           12  boulder holm-rock-1  
  (    0,    -6)      11       11           11                      
  (    0,    -5)      11       11           11                      
  (    0,    -4)      11       11           11                      
  (    0,    -3)      11       11           26                      
  (    0,    -2)      11       11           26                      
  (    0,    -1)      11       11           25                      
  (    0,     0)      11       11           25                      
  (    0,     1)      11       11           26                      
  (    0,     2)      11       11           26                      
  (    0,     3)      11       11           11                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder holm-rock-1 at (-1, -10)
