      |  1         0         1 |
      | 1098765432101234567890 |
  -11 | AAAAAAASSSSSSSSAAAAAAA |
  -10 | AAAAAAASSSSSSSSAAAAAAA |
   -9 | AAAAAAASSSSSSSSAAAAAAA |
   -8 | AAAAAAASSSSSS@SAAAAAAA |
   -7 | AAAAAAASSSSSSSSAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAA!AAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAA!AAAAAAAAAA |
    6 | AAAAAAASSSSSSSSAAAAAAA |
    7 | AAAAAAASSSSSSSSAAAAAAA |
    8 | AAAAAAASS@SSSSSAAAAAAA |
    9 | AAAAAAASSSSSSSSAAAAAAA |
   10 | AAAAAAASSSSSSSSAAAAAAA |
      22 × 22 cells drawn  ·  22 × 22 cells = 110 × 110 blocks  ·  cell 5
      ! destroyable   @ spawn   A field (piece)   S camp (spawn)   
