      | 1         0          |
      | 09876543210123456789 |
  -22 | JJJJJJJJSSSSLLLLLLLL |
  -21 | JJJJJJJJSS@SLLLLLLLL |
  -20 | JJJJJJJJSSSSLLLLLLLL |
  -19 | JJJJJJJJSSSSLLLLLLLL |
  -18 | JJJJJJJJKKKKLLLLLLLL |
  -17 | JJJJJJJJKKKKLLLLLLLL |
  -16 | EEEEEFFFFFGGGGGHHHHH |
  -15 | EEEEEFFFFFGGGGGHHHHH |
  -14 | EEEEEFFFFFGGGGGHHHHH |
  -13 | EEEEEFFFFFGGGGGHHHHH |
  -12 | AAAAAFFFFF!GGGGHHHHH |
  -11 | AAAAAFFFFFCCCCCHHHHH |
  -10 | AAAAAFFFFFCCCCCHHHHH |
   -9 | AAAAAFFFFFCCCCCDDDDD |
   -8 | AAAAABBBBBCCCCCDDDDD |
   -7 | AAAAABBBBBCCCCCDDDDD |
   -6 | AAAAABBBBBCCCCCDDDDD |
   -5 | AAAAABBBBBCCCCCDDDDD |
   -4 | ++++++++++++++++++++ |
   -3 | ++++++++++++++++++++ |
   -2 | ++++++++++++++++++++ |
   -1 | ++++++++++++++++++++ |
    0 | ++++++++++++++++++++ |
    1 | ++++++++++++++++++++ |
    2 | ++++++++++++++++++++ |
    3 | ++++++++++++++++++++ |
    4 | DDDDDCCCCCBBBBBAAAAA |
    5 | DDDDDCCCCCBBBBBAAAAA |
    6 | DDDDDCCCCCBBBBBAAAAA |
    7 | DDDDDCCCCCBBBBBAAAAA |
    8 | DDDDDCCCCCFFFFFAAAAA |
    9 | HHHHHCCCCCFFFFFAAAAA |
   10 | HHHHHCCCCCFFFFFAAAAA |
   11 | HHHHHGGGGGFFFFFAAAAA |
   12 | HHHHHGGGG!FFFFFEEEEE |
   13 | HHHHHGGGGGFFFFFEEEEE |
   14 | HHHHHGGGGGFFFFFEEEEE |
   15 | HHHHHGGGGGFFFFFEEEEE |
   16 | LLLLLLLLKKKKJJJJJJJJ |
   17 | LLLLLLLLKKKKJJJJJJJJ |
   18 | LLLLLLLLSSSSJJJJJJJJ |
   19 | LLLLLLLLSSSSJJJJJJJJ |
   20 | LLLLLLLLSS@SJJJJJJJJ |
   21 | LLLLLLLLSSSSJJJJJJJJ |
      20 × 44 cells drawn  ·  20 × 44 cells = 100 × 220 blocks  ·  cell 5
      ! destroyable   @ spawn   A yard-w (piece)   B yard-mw (piece)   C yard-me (piece)   
      D yard-e (piece)   E bench-w (piece)   F bench-mw (piece)   G bench-me (piece)   
      H bench-e (piece)   J terrace-w (piece)   K terrace-m (piece)   L terrace-e (piece)   
      S spawn (spawn)   
