      |      1         0         1     |
      | 543210987654321012345678901234 |
  -30 |       GGGGGGGGGGGGGGGGGG       |
  -29 |       GGGGGGGGGGGGGGGGGG       |
  -28 |       GGGGGGGGGGGGGGGGGG       |
  -27 |       GGGGGGGGGGGGGGGGGG       |
  -26 |       GGGGGGGGGGGGGGGGGG       |
  -25 |       FFFFFFFSSSSEEEEEEE       |
  -24 |       FFFFFFFSS@iEEEEEEE       |
  -23 |       DDDDDDDDDDDDDDDDDD       |
  -22 |       DDDDDDDDDDDDDDDDDD       |
  -21 |       DDDDDDDDDDDDDDDDDD       |
  -20 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
  -19 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
  -18 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
  -17 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
  -16 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
  -15 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
  -14 |  BBBBBBBB!BBBBBBBBBBBBBBBBBBB  |
  -13 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
  -12 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
  -11 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
  -10 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   -9 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   -8 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   -7 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    7 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
    8 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
    9 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   10 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   11 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   12 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   13 |  BBBBBBBBBBBBBBBBBBBB!BBBBBBB  |
   14 |  BBBBBBBBBBBBBBBBBBBBBBBBBBBB  |
   15 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
   16 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
   17 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
   18 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
   19 |    CCCCCCCCCCCCCCCCCCCCCCCC    |
   20 |       DDDDDDDDDDDDDDDDDD       |
   21 |       DDDDDDDDDDDDDDDDDD       |
   22 |       DDDDDDDDDDDDDDDDDD       |
   23 |       EEEEEEESS@SFFFFFFF       |
   24 |       EEEEEEESiSSFFFFFFF       |
   25 |       GGGGGGGGGGGGGGGGGG       |
   26 |       GGGGGGGGGGGGGGGGGG       |
   27 |       GGGGGGGGGGGGGGGGGG       |
   28 |       GGGGGGGGGGGGGGGGGG       |
   29 |       GGGGGGGGGGGGGGGGGG       |
      30 × 60 cells drawn  ·  30 × 60 cells = 150 × 300 blocks  ·  cell 5
      ! destroyable   @ spawn   A shore (piece)   B downs (piece)   C holt (piece)   
      D apron (piece)   E flank-w (piece)   F flank-e (piece)   G backdrop (piece)   
      S spawn (spawn)   i iron   
