      |       0      |
      | 654321012345 |
  -29 |  CCCSSSSSBB  |
  -28 |  CCCSSSSSBB  |
  -27 |  CCCSS@SSBB  |
  -26 |  CCCSSSSSBB  |
  -25 |  CCCSSSSSBB  |
  -24 |  CCCSSiSSBB  |
  -23 | AAAAAAAAAAAA |
  -22 | AAAAAAAAAAAA |
  -21 | AAAAAAAAAAAA |
  -20 | AAAAAAAAAAAA |
  -19 | AAAAAAAAAAAA |
  -18 | AAAAAAAAAAAA |
  -17 | AAAAAAAAAAAA |
  -16 | AAA!AAAAAAAA |
  -15 | AAAAAAAAAAAA |
  -14 | AAAAAAAAAAAA |
  -13 | AAAAAAAAAAAA |
  -12 | AAAAAAAAAAAA |
  -11 | AAAAAAAAAAAA |
  -10 | AAAAAAAAAAAA |
   -9 | AAAAAAAAAAAA |
   -8 | AAAAAAAAAAAA |
   -7 | AAAAAAAAAAAA |
   -6 | AAAAAAAAAAAA |
   -5 | AAAAAAAAAAAA |
   -4 | ++++++++++++ |
   -3 | ++++++++++++ |
   -2 | ++++++++++++ |
   -1 | ++++++++++++ |
    0 | ++++++++++++ |
    1 | ++++++++++++ |
    2 | ++++++++++++ |
    3 | ++++++++++++ |
    4 | AAAAAAAAAAAA |
    5 | AAAAAAAAAAAA |
    6 | AAAAAAAAAAAA |
    7 | AAAAAAAAAAAA |
    8 | AAAAAAAAAAAA |
    9 | AAAAAAAAAAAA |
   10 | AAAAAAAAAAAA |
   11 | AAAAAAAAAAAA |
   12 | AAAAAAAAAAAA |
   13 | AAAAAAAAAAAA |
   14 | AAAAAAAAAAAA |
   15 | AAAAAAAAA!AA |
   16 | AAAAAAAAAAAA |
   17 | AAAAAAAAAAAA |
   18 | AAAAAAAAAAAA |
   19 | AAAAAAAAAAAA |
   20 | AAAAAAAAAAAA |
   21 | AAAAAAAAAAAA |
   22 | AAAAAAAAAAAA |
   23 |  BBSSiSSCCC  |
   24 |  BBSSSSSCCC  |
   25 |  BBSSSSSCCC  |
   26 |  BBSS@SSCCC  |
   27 |  BBSSSSSCCC  |
   28 |  BBSSSSSCCC  |
      12 × 58 cells drawn  ·  12 × 58 cells = 48 × 232 blocks  ·  cell 4
      ! destroyable   @ spawn   A fell (piece)   B garth-w (piece)   C garth-e (piece)   
      S spawn (spawn)   i iron   
