## wing-w (made) along x
TRANSECT 27 stations from (-53, -34) to (-27, -34), every 1
  station        ground  surface  water  top  standing            step
  (  -53,   -34)                                                    void
  (  -52,   -34)               54           54                      void
  (  -51,   -34)               54           54                      void
  (  -50,   -34)               54           54                      void
  (  -49,   -34)               54           54                      void
  (  -48,   -34)               54           54                      void
  (  -47,   -34)               54           54                      void
  (  -46,   -34)               54           54                      void
  (  -45,   -34)               54           54                      void
  (  -44,   -34)               44           44                      void
  (  -43,   -34)               44           44                      void
  (  -42,   -34)               44           44                      void
  (  -41,   -34)               44           44                      void
  (  -40,   -34)               44           44                      void
  (  -39,   -34)               44           44                      void
  (  -38,   -34)               44           44                      void
  (  -37,   -34)               44           44                      void
  (  -36,   -34)               44           44                      void
  (  -35,   -34)                                                    void
  (  -34,   -34)                                                    void
  (  -33,   -34)                                                    void
  (  -32,   -34)                                                    void
  (  -31,   -34)                                                    void
  (  -30,   -34)                                                    void
  (  -29,   -34)                                                    void
  (  -28,   -34)                                                    void
  (  -27,   -34)                                                    void
rises 0, falls 1, worst step 10: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)

## wing-w (made) along z
TRANSECT 53 stations from (-40, -60) to (-40, -8), every 1
  station        ground  surface  water  top  standing            step
  (  -40,   -60)      20       20           20  stroke walk-w       
  (  -40,   -59)      20       20           20                      
  (  -40,   -58)      20       20           20                      
  (  -40,   -57)      20       20           20                      
  (  -40,   -56)      20       20           20                      
  (  -40,   -55)      20       20           20                      
  (  -40,   -54)      20       20           20                      
  (  -40,   -53)      20       20           20                      
  (  -40,   -52)      20       44           44  storey              BARRIER +24
  (  -40,   -51)      20       44           44  storey              
  (  -40,   -50)      20       44           44  storey              
  (  -40,   -49)      20       44           44  storey              
  (  -40,   -48)               44           44                      void
  (  -40,   -47)               44           44                      void
  (  -40,   -46)               44           44                      void
  (  -40,   -45)               44           44                      void
  (  -40,   -44)               44           44                      void
  (  -40,   -43)               44           44                      void
  (  -40,   -42)               44           44                      void
  (  -40,   -41)               44           44                      void
  (  -40,   -40)               44           44                      void
  (  -40,   -39)               44           44                      void
  (  -40,   -38)               44           44                      void
  (  -40,   -37)               44           44                      void
  (  -40,   -36)               44           44                      void
  (  -40,   -35)               44           44                      void
  (  -40,   -34)               44           44                      void
  (  -40,   -33)               44           44                      void
  (  -40,   -32)               44           44                      void
  (  -40,   -31)               44           44                      void
  (  -40,   -30)               44           44                      void
  (  -40,   -29)               44           44                      void
  (  -40,   -28)               44           44                      void
  (  -40,   -27)               44           44                      void
  (  -40,   -26)               44           44                      void
  (  -40,   -25)               44           44                      void
  (  -40,   -24)               44           44                      void
  (  -40,   -23)               44           44                      void
  (  -40,   -22)               44           44                      void
  (  -40,   -21)               44           44                      void
  (  -40,   -20)               44           44                      void
  (  -40,   -19)               44           44                      void
  (  -40,   -18)               44           44                      void
  (  -40,   -17)               44           44                      void
  (  -40,   -16)                                                    void
  (  -40,   -15)                                                    void
  (  -40,   -14)                                                    void
  (  -40,   -13)                                                    void
  (  -40,   -12)                                                    void
  (  -40,   -11)                                                    void
  (  -40,   -10)                                                    void
  (  -40,    -9)                                                    void
  (  -40,    -8)                                                    void
rises 1, falls 0, worst step 24: 1 barrier, 0 scramble, 0 drop — BARRIER +24 at (-40, -52) | walked end to end
beside: stroke walk-w at (-42, -62)
