## wing-fw (made) along x
TRANSECT 25 stations from (-60, -20) to (-36, -20), every 1
  station        ground  surface  water  top  standing            step
  (  -60,   -20)                                                    void
  (  -59,   -20)                                                    void
  (  -58,   -20)                                                    void
  (  -57,   -20)                                                    void
  (  -56,   -20)                                                    void
  (  -55,   -20)                                                    void
  (  -54,   -20)                                                    void
  (  -53,   -20)                                                    void
  (  -52,   -20)               54           54                      void
  (  -51,   -20)               54           54                      void
  (  -50,   -20)               54           54                      void
  (  -49,   -20)               54           54                      void
  (  -48,   -20)               54           54                      void
  (  -47,   -20)               54           54                      void
  (  -46,   -20)               54           54                      void
  (  -45,   -20)               54           54                      void
  (  -44,   -20)               44           44                      void
  (  -43,   -20)               44           44                      void
  (  -42,   -20)               44           44                      void
  (  -41,   -20)               44           44                      void
  (  -40,   -20)               44           44                      void
  (  -39,   -20)               44           44                      void
  (  -38,   -20)               44           44                      void
  (  -37,   -20)               44           44                      void
  (  -36,   -20)               44           44                      void
rises 0, falls 1, worst step 10: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)

## wing-fw (made) along z
TRANSECT 49 stations from (-48, -44) to (-48, 4), every 1
  station        ground  surface  water  top  standing            step
  (  -48,   -44)                                                    void
  (  -48,   -43)                                                    void
  (  -48,   -42)                                                    void
  (  -48,   -41)                                                    void
  (  -48,   -40)                                                    void
  (  -48,   -39)                                                    void
  (  -48,   -38)                                                    void
  (  -48,   -37)                                                    void
  (  -48,   -36)               54           54                      void
  (  -48,   -35)               54           54                      void
  (  -48,   -34)               54           54                      void
  (  -48,   -33)               54           54                      void
  (  -48,   -32)               54           54                      void
  (  -48,   -31)               54           54                      void
  (  -48,   -30)               54           54                      void
  (  -48,   -29)               54           54                      void
  (  -48,   -28)               54           54                      void
  (  -48,   -27)               54           54                      void
  (  -48,   -26)               54           54                      void
  (  -48,   -25)               54           54                      void
  (  -48,   -24)               54           54                      void
  (  -48,   -23)               54           54                      void
  (  -48,   -22)               54           54                      void
  (  -48,   -21)               54           54                      void
  (  -48,   -20)               54           54                      void
  (  -48,   -19)               54           54                      void
  (  -48,   -18)               54           54                      void
  (  -48,   -17)               54           54                      void
  (  -48,   -16)               54           54                      void
  (  -48,   -15)               54           54                      void
  (  -48,   -14)               54           54                      void
  (  -48,   -13)               54           54                      void
  (  -48,   -12)               54           54                      void
  (  -48,   -11)               54           54                      void
  (  -48,   -10)               54           54                      void
  (  -48,    -9)               54           54                      void
  (  -48,    -8)               54           54                      void
  (  -48,    -7)               54           54                      void
  (  -48,    -6)               54           54                      void
  (  -48,    -5)               54           54                      void
  (  -48,    -4)                                                    void
  (  -48,    -3)                                                    void
  (  -48,    -2)                                                    void
  (  -48,    -1)                                                    void
  (  -48,     0)                                                    void
  (  -48,     1)                                                    void
  (  -48,     2)                                                    void
  (  -48,     3)                                                    void
  (  -48,     4)               58           58                      void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: (none)
