      |  -1         0         1  |
      | 210987654321012345678901 |
  -20 |          SSSSSS          |
  -19 |          SSSSSS          |
  -18 |          SSS@SS          |
  -17 |          SSSSSS          |
  -16 |         AAAAAAAA         |
  -15 | WWWBBBBBAAAAAAAACCCCCVVV |
  -14 | WWWBBBBBAAAAAAAACCCCCVVV |
  -13 | W¤WBBBBBAAAAAAAACCCCCV¤V |
  -12 | WWWBBBBBAAAAAAAACCCCCVVV |
  -11 | WWWBBBBBAAAAAAAACCCCCVVV |
  -10 |         DDDDDDDD         |
   -9 |         DDDDDDDD         |
   -8 |         DDDDDDDD         |
   -7 |         ++++++++         |
   -6 |         ++++++++         |
   -5 |         ++++++++         |
   -4 |         ++++++++         |
   -3 |       EEEEEEEEEEEE       |
   -2 |       EEEEEEEEEEEE       |
   -1 |       EEEEEEEEEEEE       |
    0 |       EEEEEEEEEEEE       |
    1 |       EEEEEEEEEEEE       |
    2 |       EEEEEEEEEEEE       |
    3 |         ++++++++         |
    4 |         ++++++++         |
    5 |         ++++++++         |
    6 |         ++++++++         |
    7 |         DDDDDDDD         |
    8 |         DDDDDDDD         |
    9 |         DDDDDDDD         |
   10 | VVVCCCCCAAAAAAAABBBBBWWW |
   11 | VVVCCCCCAAAAAAAABBBBBWWW |
   12 | V¤VCCCCCAAAAAAAABBBBBW¤W |
   13 | VVVCCCCCAAAAAAAABBBBBWWW |
   14 | VVVCCCCCAAAAAAAABBBBBWWW |
   15 |         AAAAAAAA         |
   16 |          SSSSSS          |
   17 |          SSSSSS          |
   18 |          SSS@SS          |
   19 |          SSSSSS          |
      24 × 40 cells drawn  ·  24 × 40 cells = 120 × 200 blocks  ·  cell 5
      @ spawn   A hub (piece)   B arm-w (piece)   C arm-e (piece)   D neck (piece)   
      E spine (piece)   S berth (spawn)   V vault-e (wool-room)   W vault-w (wool-room)   ¤ wool   
