      |        0       |
      | 76543210123456 |
  -25 | BBSSSSCCCCCCCC |
  -24 | BBSSSSCCCCCCCC |
  -23 | BBSS@SCCCCCCCC |
  -22 | BBSSSSCCCCCCCC |
  -21 | AAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAA |
  -13 | AAAA!AAAAAAAAA |
  -12 | AAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAA |
   -3 | ++++++++++++++ |
   -2 | ++++++++++++++ |
   -1 | ++++++++++++++ |
    0 | ++++++++++++++ |
    1 | ++++++++++++++ |
    2 | ++++++++++++++ |
    3 | AAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAA |
   12 | AAAAAAAAA!AAAA |
   13 | AAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAA |
   21 | CCCCCCCCSSSSBB |
   22 | CCCCCCCCSSSSBB |
   23 | CCCCCCCCSS@SBB |
   24 | CCCCCCCCSSSSBB |
      14 × 50 cells drawn  ·  14 × 50 cells = 56 × 200 blocks  ·  cell 4
      ! destroyable   @ spawn   A fell (piece)   B fell-w (piece)   C fell-e (piece)   
      S head (spawn)   
