## spawn-red (spawn) along x
TRANSECT 27 stations from (-73, 77) to (-47, 77), every 1
  station        ground  surface  water  top  standing            step
  (  -73,    77)                                                    void
  (  -72,    77)                                                    void
  (  -71,    77)                                                    void
  (  -70,    77)                                                    void
  (  -69,    77)                                                    void
  (  -68,    77)                                                    void
  (  -67,    77)                                                    void
  (  -66,    77)                                                    void
  (  -65,    77)      14       14           24                      
  (  -64,    77)      14       14           25  spawn spawn-1       
  (  -63,    77)      14       14           26  spawn spawn-1       
  (  -62,    77)      14       14           27  spawn spawn-1       
  (  -61,    77)      14       14           28  spawn spawn-1       
  (  -60,    77)      14       14           27  spawn spawn-1       
  (  -59,    77)      14       14           26  spawn spawn-1       
  (  -58,    77)      14       14           25  spawn spawn-1       
  (  -57,    77)      14       14           24                      
  (  -56,    77)      14       14           14                      
  (  -55,    77)      14       14           14                      
  (  -54,    77)      14       14           14                      
  (  -53,    77)      14       14           14                      
  (  -52,    77)      14       14           14                      
  (  -51,    77)      14       14           14                      
  (  -50,    77)      15       15           15                      +1
  (  -49,    77)      14       14           14                      -1
  (  -48,    77)      14       14           14                      
  (  -47,    77)      14       14           14                      
rises 1, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-64, 75)

## spawn-red (spawn) along z
TRANSECT 32 stations from (-60, 62) to (-60, 93), every 1
  station        ground  surface  water  top  standing            step
  (  -60,    62)                                                    void
  (  -60,    63)                                                    void
  (  -60,    64)                                                    void
  (  -60,    65)                                                    void
  (  -60,    66)                                                    void
  (  -60,    67)                                                    void
  (  -60,    68)                                                    void
  (  -60,    69)                                                    void
  (  -60,    70)      14       14           27                      
  (  -60,    71)      14       14           27  spawn spawn-1       
  (  -60,    72)      14       14           27  spawn spawn-1       
  (  -60,    73)      14       14           27  spawn spawn-1       
  (  -60,    74)      14       14           27  spawn spawn-1       
  (  -60,    75)      14       14           27  spawn spawn-1       
  (  -60,    76)      14       14           27  spawn spawn-1       
  (  -60,    77)      14       14           27  spawn spawn-1       
  (  -60,    78)      14       14           27  spawn spawn-1       
  (  -60,    79)      14       14           27  spawn spawn-1       
  (  -60,    80)      14       14           27  spawn spawn-1       
  (  -60,    81)      14       14           27  spawn spawn-1       
  (  -60,    82)      14       14           27  spawn spawn-1       
  (  -60,    83)      14       14           27  spawn spawn-1       
  (  -60,    84)      14       14           27                      
  (  -60,    85)                                                    void
  (  -60,    86)                                                    void
  (  -60,    87)                                                    void
  (  -60,    88)                                                    void
  (  -60,    89)                                                    void
  (  -60,    90)                                                    void
  (  -60,    91)                                                    void
  (  -60,    92)                                                    void
  (  -60,    93)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-62, 71)
