## serp-plain (r14, no tread) — across the limbs at x=-110
TRANSECT 71 stations from (-110, -80) to (-110, -10), every 1
  station        ground  surface  water  top  standing            step
  ( -110,   -80)      33       33           33                      
  ( -110,   -79)      33       33           33                      
  ( -110,   -78)      33       33           33                      
  ( -110,   -77)      33       33           33                      
  ( -110,   -76)      33       33           33                      
  ( -110,   -75)      33       33           33                      
  ( -110,   -74)      33       33           33                      
  ( -110,   -73)      33       33           33                      
  ( -110,   -72)      33       33           33                      
  ( -110,   -71)      33       33           33                      
  ( -110,   -70)      33       33           33                      
  ( -110,   -69)      33       33           33                      
  ( -110,   -68)      33       33           33                      
  ( -110,   -67)      33       33           33                      
  ( -110,   -66)      32       32           32                      -1
  ( -110,   -65)      32       32           32                      
  ( -110,   -64)      32       32           32                      
  ( -110,   -63)      32       32           32                      
  ( -110,   -62)      32       32           32                      
  ( -110,   -61)      32       32           32                      
  ( -110,   -60)      32       32           32                      
  ( -110,   -59)      32       32           32                      
  ( -110,   -58)      21       21           21                      DROP -11
  ( -110,   -57)      21       21           21                      
  ( -110,   -56)      21       21           21                      
  ( -110,   -55)      21       21           21                      
  ( -110,   -54)      21       21           21                      
  ( -110,   -53)      21       21           21                      
  ( -110,   -52)      21       21           21                      
  ( -110,   -51)      21       21           21                      
  ( -110,   -50)      21       21           21                      
  ( -110,   -49)      21       21           21                      
  ( -110,   -48)      21       21           21                      
  ( -110,   -47)      21       21           21                      
  ( -110,   -46)      21       21           21                      
  ( -110,   -45)      21       21           21                      
  ( -110,   -44)      21       21           21                      
  ( -110,   -43)      21       21           21                      
  ( -110,   -42)      21       21           21                      
  ( -110,   -41)      21       21           21                      
  ( -110,   -40)      21       21           21                      
  ( -110,   -39)      21       21           21                      
  ( -110,   -38)      21       21           21                      
  ( -110,   -37)      21       21           21                      
  ( -110,   -36)      21       21           21                      
  ( -110,   -35)      21       21           21                      
  ( -110,   -34)      21       21           21                      
  ( -110,   -33)      21       21           21                      
  ( -110,   -32)      10       10           10                      DROP -11
  ( -110,   -31)      10       10           10                      
  ( -110,   -30)      10       10           10                      
  ( -110,   -29)       9        9            9                      -1
  ( -110,   -28)       9        9            9                      
  ( -110,   -27)       9        9            9                      
  ( -110,   -26)       9        9            9                      
  ( -110,   -25)       9        9            9                      
  ( -110,   -24)       9        9            9                      
  ( -110,   -23)       9        9            9                      
  ( -110,   -22)       9        9            9                      
  ( -110,   -21)       9        9            9                      
  ( -110,   -20)       9        9            9                      
  ( -110,   -19)       9        9            9                      
  ( -110,   -18)       9        9            9                      
  ( -110,   -17)       9        9            9                      
  ( -110,   -16)       9        9            9                      
  ( -110,   -15)       9        9            9                      
  ( -110,   -14)       9        9            9                      
  ( -110,   -13)       9        9            9                      
  ( -110,   -12)       9        9            9                      
  ( -110,   -11)       9        9            9                      
  ( -110,   -10)                                                    void
rises 0, falls 4, worst step 11: 0 barrier, 0 scramble, 2 drop — DROP -11 at (-110, -58); DROP -11 at (-110, -32) | walked end to end

## serp-tread (r14, tread 3) — across the limbs at x=-4
TRANSECT 71 stations from (-4, -80) to (-4, -10), every 1
  station        ground  surface  water  top  standing            step
  (   -4,   -80)      33       33           33                      
  (   -4,   -79)      33       33           33                      
  (   -4,   -78)      33       33           33                      
  (   -4,   -77)      33       33           33                      
  (   -4,   -76)      33       33           33                      
  (   -4,   -75)      33       33           33                      
  (   -4,   -74)      33       33           33                      
  (   -4,   -73)      33       33           33                      
  (   -4,   -72)      33       33           33                      
  (   -4,   -71)      33       33           33                      
  (   -4,   -70)      33       33           33                      
  (   -4,   -69)      33       33           33                      
  (   -4,   -68)      32       32           32                      -1
  (   -4,   -67)      31       31           31                      -1
  (   -4,   -66)      31       31           31                      
  (   -4,   -65)      30       30           30                      -1
  (   -4,   -64)      30       30           30                      
  (   -4,   -63)      29       29           29                      -1
  (   -4,   -62)      28       28           28                      -1
  (   -4,   -61)      28       28           28                      
  (   -4,   -60)      27       27           27                      -1
  (   -4,   -59)      27       27           27                      
  (   -4,   -58)      26       26           26                      -1
  (   -4,   -57)      26       26           26                      
  (   -4,   -56)      25       25           25                      -1
  (   -4,   -55)      24       24           24                      -1
  (   -4,   -54)      24       24           24                      
  (   -4,   -53)      23       23           23                      -1
  (   -4,   -52)      23       23           23                      
  (   -4,   -51)      22       22           22                      -1
  (   -4,   -50)      22       22           22                      
  (   -4,   -49)      21       21           21                      -1
  (   -4,   -48)      21       21           21                      
  (   -4,   -47)      21       21           21                      
  (   -4,   -46)      21       21           21                      
  (   -4,   -45)      21       21           21                      
  (   -4,   -44)      21       21           21                      
  (   -4,   -43)      21       21           21                      
  (   -4,   -42)      21       21           21                      
  (   -4,   -41)      20       20           20                      -1
  (   -4,   -40)      20       20           20                      
  (   -4,   -39)      19       19           19                      -1
  (   -4,   -38)      19       19           19                      
  (   -4,   -37)      18       18           18                      -1
  (   -4,   -36)      18       18           18                      
  (   -4,   -35)      17       17           17                      -1
  (   -4,   -34)      17       17           17                      
  (   -4,   -33)      16       16           16                      -1
  (   -4,   -32)      15       15           15                      -1
  (   -4,   -31)      15       15           15                      
  (   -4,   -30)      14       14           14                      -1
  (   -4,   -29)      14       14           14                      
  (   -4,   -28)      13       13           13                      -1
  (   -4,   -27)      12       12           12                      -1
  (   -4,   -26)      12       12           12                      
  (   -4,   -25)      11       11           11                      -1
  (   -4,   -24)      11       11           11                      
  (   -4,   -23)      10       10           10                      -1
  (   -4,   -22)       9        9            9                      -1
  (   -4,   -21)       9        9            9                      
  (   -4,   -20)       9        9            9                      
  (   -4,   -19)       9        9            9                      
  (   -4,   -18)       9        9            9                      
  (   -4,   -17)       9        9            9                      
  (   -4,   -16)       9        9            9                      
  (   -4,   -15)       9        9            9                      
  (   -4,   -14)       9        9            9                      
  (   -4,   -13)       9        9            9                      
  (   -4,   -12)       9        9            9                      
  (   -4,   -11)       9        9            9                      
  (   -4,   -10)                                                    void
rises 0, falls 24, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

## serp-batter (r14, tread 3, batter 78) — across the limbs at x=102
TRANSECT 71 stations from (102, -80) to (102, -10), every 1
  station        ground  surface  water  top  standing            step
  (  102,   -80)      33       33           33                      
  (  102,   -79)      33       33           33                      
  (  102,   -78)      33       33           33                      
  (  102,   -77)      33       33           33                      
  (  102,   -76)      33       33           33                      
  (  102,   -75)      33       33           33                      
  (  102,   -74)      33       33           33                      
  (  102,   -73)      33       33           33                      
  (  102,   -72)      33       33           33                      
  (  102,   -71)      33       33           33                      
  (  102,   -70)      33       33           33                      
  (  102,   -69)      33       33           33                      
  (  102,   -68)      28       28           28                      DROP -5
  (  102,   -67)      24       24           24                      DROP -4
  (  102,   -66)      21       21           21                      -3
  (  102,   -65)      21       21           21                      
  (  102,   -64)      21       21           21                      
  (  102,   -63)      21       21           21                      
  (  102,   -62)      21       21           21                      
  (  102,   -61)      21       21           21                      
  (  102,   -60)      21       21           21                      
  (  102,   -59)      21       21           21                      
  (  102,   -58)      21       21           21                      
  (  102,   -57)      21       21           21                      
  (  102,   -56)      21       21           21                      
  (  102,   -55)      21       21           21                      
  (  102,   -54)      21       21           21                      
  (  102,   -53)      21       21           21                      
  (  102,   -52)      21       21           21                      
  (  102,   -51)      21       21           21                      
  (  102,   -50)      21       21           21                      
  (  102,   -49)      21       21           21                      
  (  102,   -48)      21       21           21                      
  (  102,   -47)      21       21           21                      
  (  102,   -46)      21       21           21                      
  (  102,   -45)      21       21           21                      
  (  102,   -44)      21       21           21                      
  (  102,   -43)      21       21           21                      
  (  102,   -42)      20       20           20                      -1
  (  102,   -41)      15       15           15                      DROP -5
  (  102,   -40)      10       10           10                      DROP -5
  (  102,   -39)      10       10           10                      
  (  102,   -38)      10       10           10                      
  (  102,   -37)      10       10           10                      
  (  102,   -36)      10       10           10                      
  (  102,   -35)      10       10           10                      
  (  102,   -34)      10       10           10                      
  (  102,   -33)      10       10           10                      
  (  102,   -32)      10       10           10                      
  (  102,   -31)      10       10           10                      
  (  102,   -30)      10       10           10                      
  (  102,   -29)       9        9            9                      -1
  (  102,   -28)       9        9            9                      
  (  102,   -27)       9        9            9                      
  (  102,   -26)       9        9            9                      
  (  102,   -25)       9        9            9                      
  (  102,   -24)       9        9            9                      
  (  102,   -23)       9        9            9                      
  (  102,   -22)       9        9            9                      
  (  102,   -21)       9        9            9                      
  (  102,   -20)       9        9            9                      
  (  102,   -19)       9        9            9                      
  (  102,   -18)       9        9            9                      
  (  102,   -17)       9        9            9                      
  (  102,   -16)       9        9            9                      
  (  102,   -15)       9        9            9                      
  (  102,   -14)       9        9            9                      
  (  102,   -13)       9        9            9                      
  (  102,   -12)       9        9            9                      
  (  102,   -11)       9        9            9                      
  (  102,   -10)                                                    void
rises 0, falls 7, worst step 5: 0 barrier, 0 scramble, 4 drop — DROP -5 at (102, -68); DROP -4 at (102, -67); DROP -5 at (102, -41); DROP -5 at (102, -40) | walked end to end

## spiral — across the pit at z=41
TRANSECT 91 stations from (-155, 41) to (-65, 41), every 1
  station        ground  surface  water  top  standing            step
  ( -155,    41)      30       30           30                      
  ( -154,    41)      30       30           30                      
  ( -153,    41)      30       30           30                      
  ( -152,    41)      30       30           30                      
  ( -151,    41)      30       30           30                      
  ( -150,    41)      30       30           30                      
  ( -149,    41)      30       30           30                      
  ( -148,    41)      30       30           30                      
  ( -147,    41)      30       30           30                      
  ( -146,    41)      30       30           30                      
  ( -145,    41)      30       30           30                      
  ( -144,    41)      30       30           30                      
  ( -143,    41)      30       30           30                      
  ( -142,    41)      30       30           30                      
  ( -141,    41)      30       30           30                      
  ( -140,    41)      30       30           30                      
  ( -139,    41)      30       30           30                      
  ( -138,    41)      27       27           27                      -3
  ( -137,    41)      25       25           25                      -2
  ( -136,    41)      22       22           22                      -3
  ( -135,    41)      19       19           19                      -3
  ( -134,    41)      19       19           19                      
  ( -133,    41)      19       19           19                      
  ( -132,    41)      19       19           19                      
  ( -131,    41)      19       19           19                      
  ( -130,    41)      17       17           17                      -2
