## spawn-blue (spawn) along x
TRANSECT 37 stations from (-16, 84) to (20, 84), every 1
  station        ground  surface  water  top  standing            step
  (  -16,    84)      32       32           42  house winding-house#1  
  (  -15,    84)      32       32           42  house winding-house#1  
  (  -14,    84)      32       32           42  house winding-house#1  
  (  -13,    84)      32       32           42  house winding-house#1  
  (  -12,    84)      32       32           42  house winding-house#1  
  (  -11,    84)      32       32           42  house winding-house#1  
  (  -10,    84)      32       32           42  house winding-house#1  
  (   -9,    84)      32       32           42  house winding-house#1  
  (   -8,    84)      32       32           42  house winding-house#1  
  (   -7,    84)      32       32           46  house winding-house#1  
  (   -6,    84)      32       32           46  house winding-house#1  
  (   -5,    84)      32       32           46  spawn spawn-1#1     
  (   -4,    84)      32       32           46  spawn spawn-1#1     
  (   -3,    84)      32       32           46  spawn spawn-1#1     
  (   -2,    84)      32       32           46  spawn spawn-1#1     
  (   -1,    84)      32       32           46  spawn spawn-1#1     
  (    0,    84)      32       32           46  spawn spawn-1#1     
  (    1,    84)      32       32           46  spawn spawn-1#1     
  (    2,    84)      32       32           46  spawn spawn-1#1     
  (    3,    84)      32       32           46  spawn spawn-1#1     
  (    4,    84)      32       32           46  spawn spawn-1#1     
  (    5,    84)      32       32           46  spawn spawn-1#1     
  (    6,    84)      32       32           46  spawn spawn-1#1     
  (    7,    84)      32       32           46  spawn spawn-1#1     
  (    8,    84)      32       32           46  spawn spawn-1#1     
  (    9,    84)      32       32           46  spawn spawn-1#1     
  (   10,    84)      32       32           46                      
  (   11,    84)      32       32           32                      
  (   12,    84)      32       32           32                      
  (   13,    84)      32       32           32                      
  (   14,    84)      32       32           32                      
  (   15,    84)      32       32           32                      
  (   16,    84)      32       32           32                      
  (   17,    84)      32       32           32                      
  (   18,    84)      32       32           32                      
  (   19,    84)      32       32           32                      
  (   20,    84)      32       32           32                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: house winding-house#1 at (-18, 82), stroke turf-1#1 at (-17, 85), spawn spawn-1#1 at (-6, 85)

## spawn-blue (spawn) along z
TRANSECT 33 stations from (2, 68) to (2, 100), every 1
  station        ground  surface  water  top  standing            step
  (    2,    68)      28       28           28                      
  (    2,    69)      30       30           30                      scramble +2
  (    2,    70)      32       32           32                      scramble +2
  (    2,    71)      32       32           32                      
  (    2,    72)      32       32           32                      
  (    2,    73)      32       32           32                      
  (    2,    74)      31       31           31                      -1
  (    2,    75)      31       31           31                      
  (    2,    76)      31       31           31                      
  (    2,    77)      31       31           43                      
  (    2,    78)      31       31           43  spawn spawn-1#1     
  (    2,    79)      31       31           44  spawn spawn-1#1     
  (    2,    80)      32       32           44  spawn spawn-1#1     +1
  (    2,    81)      32       32           45  spawn spawn-1#1     
  (    2,    82)      32       32           45  spawn spawn-1#1     
  (    2,    83)      32       32           46  spawn spawn-1#1     
  (    2,    84)      32       32           46  spawn spawn-1#1     
  (    2,    85)      32       32           45  spawn spawn-1#1     
  (    2,    86)      32       32           45  spawn spawn-1#1     
  (    2,    87)      32       32           44  spawn spawn-1#1     
  (    2,    88)      32       32           44  spawn spawn-1#1     
  (    2,    89)      32       32           43  spawn spawn-1#1     
  (    2,    90)      32       32           43                      
  (    2,    91)      32       32           32                      
  (    2,    92)      32       32           32                      
  (    2,    93)      32       32           32                      
  (    2,    94)      32       32           32                      
  (    2,    95)      32       32           32                      
  (    2,    96)      32       32           32                      
  (    2,    97)      32       32           32                      
  (    2,    98)      32       32           32                      
  (    2,    99)      32       32           32                      
  (    2,   100)      32       32           32                      
rises 3, falls 1, worst step 2: 0 barrier, 2 scramble, 0 drop — scramble +2 at (2, 69); scramble +2 at (2, 70) | walked end to end
beside: spawn spawn-1#1 at (0, 78)
