      |          0         |
      | 987654321012345678 |
  -28 | JJSSSSSH           |
  -27 | JJSSSSSH           |
  -26 | JJSS@SiH      WWWW |
  -25 | JJSSSSSH      WW¤W |
  -24 | JJSSSSSH      WWWW |
  -23 | GGGGGGGG      FFFF |
  -22 | GGGGGGGG      FFFF |
  -21 | GGGGGGGG      FFFF |
  -20 | GGGGGGGG      FFFF |
  -19 | GGGGGGGG      FFFF |
  -18 | DDDDDDEEEEEEEECCCC |
  -17 | DDDDDDEEEEEEEECCCC |
  -16 | DDDDDDEEEEEEEECCCC |
  -15 | DDDDDDooooooooCCCC |
  -14 | DDDDDDooooooooCCCC |
  -13 | D!DDDDooooooooCCCC |
  -12 | DDDDDDooooooooCCCC |
  -11 | BBBBooooooooooAAAA |
  -10 | BBBBooooooooooAAAA |
   -9 | BBBBooooooooooAAAA |
   -8 | BBBBooooooooooAAAA |
   -7 | BBBBooooooooooAAAA |
   -6 | BBBBooooooooooAAAA |
   -5 | BBBBooooooooooAAAA |
   -4 | ++++++++++++++++++ |
   -3 | ++++++++++++++++++ |
   -2 | ++++++++++++++++++ |
   -1 | ++++++++++++++++++ |
    0 | ++++++++++++++++++ |
    1 | ++++++++++++++++++ |
    2 | ++++++++++++++++++ |
    3 | ++++++++++++++++++ |
    4 | AAAAooooooooooBBBB |
    5 | AAAAooooooooooBBBB |
    6 | AAAAooooooooooBBBB |
    7 | AAAAooooooooooBBBB |
    8 | AAAAooooooooooBBBB |
    9 | AAAAooooooooooBBBB |
   10 | AAAAooooooooooBBBB |
   11 | CCCCooooooooDDDDDD |
   12 | CCCCooooooooDDDDDD |
   13 | CCCCooooooooDDDD!D |
   14 | CCCCooooooooDDDDDD |
   15 | CCCCEEEEEEEEDDDDDD |
   16 | CCCCEEEEEEEEDDDDDD |
   17 | CCCCEEEEEEEEDDDDDD |
   18 | FFFF      GGGGGGGG |
   19 | FFFF      GGGGGGGG |
   20 | FFFF      GGGGGGGG |
   21 | FFFF      GGGGGGGG |
   22 | FFFF      GGGGGGGG |
   23 | WWWW      HSSSSSJJ |
   24 | WW¤W      HSSSSSJJ |
   25 | WWWW      HiS@SSJJ |
   26 |           HSSSSSJJ |
   27 |           HSSSSSJJ |
      18 × 56 cells drawn  ·  18 × 56 cells = 72 × 224 blocks  ·  cell 4
      ! destroyable   @ spawn   A eyot-w (piece)   B eyot-e (piece)   C holt-w (piece)   
      D holt-e (piece)   E holt-n (piece)   F spur (piece)   G yard (piece)   H yard-w (piece)   
      J yard-e (piece)   S camp (spawn)   W wool-room (wool-room)   i iron   ¤ wool   
