## destroyable-2-1 (destroyable) along x
TRANSECT 25 stations from (-32, 49) to (-8, 49), every 1
  station        ground  surface  water  top  standing            step
  (  -32,    49)      20       20           20                      
  (  -31,    49)      19       19           19                      -1
  (  -30,    49)      17       17           17                      -2
  (  -29,    49)      16       16           16                      -1
  (  -28,    49)      15       15           15                      -1
  (  -27,    49)      13       13           13                      -2
  (  -26,    49)      12       12           12                      -1
  (  -25,    49)      11       11           11                      -1
  (  -24,    49)      10       10           10                      -1
  (  -23,    49)      10       10           10                      
  (  -22,    49)      10       10           10  destroyable destroyable-2#1  
  (  -21,    49)      10       10           57  destroyable destroyable-2#1  
  (  -20,    49)      10       10           58  destroyable destroyable-2#1  
  (  -19,    49)      10       10           57  destroyable destroyable-2#1  
  (  -18,    49)      10       10           10  destroyable destroyable-2#1  
  (  -17,    49)      10       10           10                      
  (  -16,    49)      10       10           10                      
  (  -15,    49)      10       10           10                      
  (  -14,    49)      10       10           10                      
  (  -13,    49)      10       10           10                      
  (  -12,    49)      10       10           10                      
  (  -11,    49)      10       10           10                      
  (  -10,    49)      10       10           10                      
  (   -9,    49)      10       10           10                      
  (   -8,    49)      10       10           10                      
rises 0, falls 8, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable destroyable-2#1 at (-22, 47)

## destroyable-2-1 (destroyable) along z
TRANSECT 25 stations from (-20, 37) to (-20, 61), every 1
  station        ground  surface  water  top  standing            step
  (  -20,    37)       9        9            9                      
  (  -20,    38)       9        9            9                      
  (  -20,    39)       9        9            9                      
  (  -20,    40)       9        9            9                      
  (  -20,    41)       9        9            9                      
  (  -20,    42)       9        9            9                      
  (  -20,    43)       9        9            9                      
  (  -20,    44)      10       10           10                      +1
  (  -20,    45)      10       10           10                      
  (  -20,    46)      10       10           10                      
  (  -20,    47)      10       10           10  destroyable destroyable-2#1  
  (  -20,    48)      10       10           57  destroyable destroyable-2#1  
  (  -20,    49)      10       10           58  destroyable destroyable-2#1  
  (  -20,    50)      10       10           57  destroyable destroyable-2#1  
  (  -20,    51)      10       10           10  destroyable destroyable-2#1  
  (  -20,    52)      10       10           10                      
  (  -20,    53)      10       10           10                      
  (  -20,    54)      11       11           11                      +1
  (  -20,    55)      11       11           11                      
  (  -20,    56)      12       12           12                      +1
  (  -20,    57)      12       12           12                      
  (  -20,    58)      13       13           13                      +1
  (  -20,    59)      13       13           13                      
  (  -20,    60)      14       14           14                      +1
  (  -20,    61)      14       14           14                      
rises 5, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable destroyable-2#1 at (-22, 47)
