      | -1         0         1 |
      | 1098765432101234567890 |
  -32 |         WWW            |
  -31 |         W¤W            |
  -30 |      FFFFFFFFF         |
  -29 |      FFFFFFFFF         |
  -28 |      FFFFFFFFF         |
  -27 |      HHHoooGGG         |
  -26 |      HHHoooGGG         |
  -25 |      HHHoooGGG         |
  -24 |     AAAAAAAAAAAA       |
  -23 |     AAAAAAAAAAAA       |
  -22 |     AAAAAAAAAAAA       |
  -21 |     AAAAAAAAAAAA       |
  -20 | SSEEDDDDooooCCCC       |
  -19 | SSEEDDDDooooCCCC       |
  -18 | S@EEDDDDooooCCCC       |
  -17 | SSEEDDDDooooCCCC       |
  -16 |     BBBBBBBBBBBB       |
  -15 |     BBBBBBBBBBBBJJJKKK |
  -14 |     BBBBBBBBBBBBJJJKKK |
  -13 |     BBBBBBBBBBBBJJJKKK |
  -12 |     LLLLLLLLLLLL   KKK |
  -11 |     LLLLLLLLLLLL   KKK |
  -10 |     LLLLLLLLLLLL   VVV |
   -9 |     LLLLLLLLLLLL   V¤V |
   -8 |       MMMMMMMMMM       |
   -7 |       MMMMMMMMMM       |
   -6 |       ++++++++++       |
   -5 |       ++++++++++       |
   -4 |       ++++++++++       |
   -3 |       +NNNNNNNN+       |
   -2 |       +NNNNNNNN+       |
   -1 |       +NNNNNNNN+       |
    0 |       +NNNNNNNN+       |
    1 |       +NNNNNNNN+       |
    2 |       +NNNNNNNN+       |
    3 |       ++++++++++       |
    4 |       ++++++++++       |
    5 |       ++++++++++       |
    6 |       MMMMMMMMMM       |
    7 |       MMMMMMMMMM       |
    8 | VVV   LLLLLLLLLLLL     |
    9 | V¤V   LLLLLLLLLLLL     |
   10 | KKK   LLLLLLLLLLLL     |
   11 | KKK   LLLLLLLLLLLL     |
   12 | KKKJJJBBBBBBBBBBBB     |
   13 | KKKJJJBBBBBBBBBBBB     |
   14 | KKKJJJBBBBBBBBBBBB     |
   15 |       BBBBBBBBBBBB     |
   16 |       CCCCooooDDDDEESS |
   17 |       CCCCooooDDDDEESS |
   18 |       CCCCooooDDDDEES@ |
   19 |       CCCCooooDDDDEESS |
   20 |       AAAAAAAAAAAA     |
   21 |       AAAAAAAAAAAA     |
   22 |       AAAAAAAAAAAA     |
   23 |       AAAAAAAAAAAA     |
   24 |         GGGoooHHH      |
   25 |         GGGoooHHH      |
   26 |         GGGoooHHH      |
   27 |         FFFFFFFFF      |
   28 |         FFFFFFFFF      |
   29 |         FFFFFFFFF      |
   30 |            WWW         |
   31 |            W¤W         |
      22 × 64 cells drawn  ·  22 × 64 cells = 88 × 256 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-a-t2 (piece)   H wool-a-t3 (piece)   
      J wool-b-t1 (piece)   K wool-b-t2 (piece)   L frontline-t1 (piece)   M frontline-t2 (piece)   
      N mid-stone-0 (piece)   S spawn-room (spawn)   V wool-b-room (wool-room)   
      W wool-a-room (wool-room)   ¤ wool   
