      |   1         0         1  |
      | 210987654321012345678901 |
  -30 |           SSSS           |
  -29 |           SSSS           |
  -28 |           SS@S           |
  -27 |           SSSS           |
  -26 |      CCCCCCCCCCCCCC      |
  -25 |      CCCCCCCCCCCCCC      |
  -24 |      CCCCCCCCCCCCCC      |
  -23 |      CCCCCCCCCCCCCC      |
  -22 |   BBBBBBBBBBBBBBBBBBBB   |
  -21 |   BBBBBBBBBBBBBBBBBBBB   |
  -20 |   BBBBBBBBBBBBBBBBBBBB   |
  -19 |   BBBBBBBBBBBBBBBBBBBB   |
  -18 |   BBBBBBBBBBBBBB!BBBBB   |
  -17 |   BBBBBBBBBBBBBBBBBBBB   |
  -16 |   BBBBBBBBBBBBBBBBBBBB   |
  -15 |   BBBBBBBBBBBBBBBBBBBB   |
  -14 | AAAAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAAAA |
   14 |   BBBBBBBBBBBBBBBBBBBB   |
   15 |   BBBBBBBBBBBBBBBBBBBB   |
   16 |   BBBBBBBBBBBBBBBBBBBB   |
   17 |   BBBBBBBBBBBBBBBBBBBB   |
   18 |   BBBBBB!BBBBBBBBBBBBB   |
   19 |   BBBBBBBBBBBBBBBBBBBB   |
   20 |   BBBBBBBBBBBBBBBBBBBB   |
   21 |   BBBBBBBBBBBBBBBBBBBB   |
   22 |      CCCCCCCCCCCCCC      |
   23 |      CCCCCCCCCCCCCC      |
   24 |      CCCCCCCCCCCCCC      |
   25 |      CCCCCCCCCCCCCC      |
   26 |           SSSS           |
   27 |           SSSS           |
   28 |           SS@S           |
   29 |           SSSS           |
      24 × 60 cells drawn  ·  24 × 60 cells = 120 × 300 blocks  ·  cell 5
      ! destroyable   @ spawn   A body (piece)   B shoulder (piece)   C bench (piece)   
      S spawn (spawn)   
