      | 3        -2        -1         0         1         2          |
      | 098765432109876543210987654321012345678901234567890123456789 |
  -18 |                                                  WWWWW       |
  -17 |                                                  WWWWW       |
  -16 |                                                  WWWWW       |
  -15 |                                                  WW¤WW       |
  -14 |                                                  WWWWW       |
  -13 |                                                  WWWWW       |
  -12 |                                                  BBBBB       |
  -11 |                                                  BBBBB       |
  -10 |                                                  BBBBB       |
   -9 |                                                  BBBBB       |
   -8 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
   -7 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
   -6 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
   -5 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
   -4 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAASSSSS |
   -3 | SSSSSAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAASSSSS |
   -2 | SSSSSAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAASSSSS |
   -1 | SSSSSAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAASS@SS |
    0 | SS@SSAAAAAAAAA!AAAAAAAAAAA++++++++AAAAAAAAAAA!AAAAAAAAASSSSS |
    1 | SSSSSAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAASSSSS |
    2 | SSSSSAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAASSSSS |
    3 | SSSSSAAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
    4 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
    5 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
    6 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
    7 |      AAAAAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAAAAAA      |
    8 |       BBBBB                                                  |
    9 |       BBBBB                                                  |
   10 |       BBBBB                                                  |
   11 |       BBBBB                                                  |
   12 |       WWWWW                                                  |
   13 |       WWWWW                                                  |
   14 |       WWWWW                                                  |
   15 |       WW¤WW                                                  |
   16 |       WWWWW                                                  |
   17 |       WWWWW                                                  |
      60 × 36 cells drawn  ·  60 × 36 cells = 240 × 144 blocks  ·  cell 4
      ! destroyable   @ spawn   A yard (piece)   B approach (piece)   S spawn (spawn)   
      W wool-room (wool-room)   ¤ wool   
