## spawn-blue (spawn) along x
TRANSECT 26 stations from (92, -2) to (117, -2), every 1
  station        ground  surface  water  top  standing            step
  (   92,    -2)      11       11           11  stroke fell-road#1  
  (   93,    -2)      11       11           11  stroke fell-road#1  
  (   94,    -2)      11       11           11  stroke fell-road#1  
  (   95,    -2)      11       11           11  stroke fell-road#1  
  (   96,    -2)      11       11           11  stroke fell-road#1  
  (   97,    -2)      11       11           11  stroke fell-road#1  
  (   98,    -2)      11       11           11  stroke fell-road#1  
  (   99,    -2)      11       11           11  stroke fell-road#1  
  (  100,    -2)      11       11           11  stroke fell-road#1  
  (  101,    -2)      11       11           18  stroke fell-road#1  
  (  102,    -2)      11       11           19  stroke fell-road#1  
  (  103,    -2)      11       11           20  stroke fell-road#1  
  (  104,    -2)      11       11           21  stroke fell-road#1  
  (  105,    -2)      11       11           22  stroke fell-road#1  
  (  106,    -2)      11       11           23  stroke fell-road#1  
  (  107,    -2)      11       11           24  stroke fell-road#1  
  (  108,    -2)      11       11           25  stroke fell-road#1  
  (  109,    -2)      11       11           26  spawn red-spawn#1   
  (  110,    -2)      11       11           26  spawn red-spawn#1   
  (  111,    -2)      11       11           25  stroke fell-road#1  
  (  112,    -2)      11       11           24  spawn red-spawn#1   
  (  113,    -2)      11       11           23  spawn red-spawn#1   
  (  114,    -2)      11       11           22  spawn red-spawn#1   
  (  115,    -2)      11       11           21  spawn red-spawn#1   
  (  116,    -2)      11       11           20  spawn red-spawn#1   
  (  117,    -2)      11       11           19  spawn red-spawn#1   
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke fell-road#1 at (90, -3), spawn red-spawn#1 at (102, 0)

## spawn-blue (spawn) along z
TRANSECT 45 stations from (110, -24) to (110, 20), every 1
  station        ground  surface  water  top  standing            step
  (  110,   -24)                                                    void
  (  110,   -23)                                                    void
  (  110,   -22)                                                    void
  (  110,   -21)                                                    void
  (  110,   -20)                                                    void
  (  110,   -19)                                                    void
  (  110,   -18)                                                    void
  (  110,   -17)                                                    void
  (  110,   -16)      11       11           11                      
  (  110,   -15)      11       11           11                      
  (  110,   -14)      11       11           11                      
  (  110,   -13)      11       11           26                      
  (  110,   -12)      11       11           26  spawn red-spawn#1   
  (  110,   -11)      11       11           26  spawn red-spawn#1   
  (  110,   -10)      11       11           26  spawn red-spawn#1   
  (  110,    -9)      11       11           26  spawn red-spawn#1   
  (  110,    -8)      11       11           26  spawn red-spawn#1   
  (  110,    -7)      11       11           26  spawn red-spawn#1   
  (  110,    -6)      11       11           26  spawn red-spawn#1   
  (  110,    -5)      11       11           26  spawn red-spawn#1   
  (  110,    -4)      11       11           26  stroke fell-road#1  
  (  110,    -3)      11       11           26  spawn red-spawn#1   
  (  110,    -2)      11       11           26  spawn red-spawn#1   
  (  110,    -1)      11       11           26  stroke fell-road#1  
  (  110,     0)      11       11           26  spawn red-spawn#1   
  (  110,     1)      11       11           26  spawn red-spawn#1   
  (  110,     2)      11       11           26  spawn red-spawn#1   
  (  110,     3)      11       11           26  spawn red-spawn#1   
  (  110,     4)      11       11           26  spawn red-spawn#1   
  (  110,     5)      11       11           26  spawn red-spawn#1   
  (  110,     6)      11       11           26  spawn red-spawn#1   
  (  110,     7)      11       11           26  spawn red-spawn#1   
  (  110,     8)      11       11           26                      
  (  110,     9)      11       11           11                      
  (  110,    10)      11       11           11                      
  (  110,    11)      11       11           11                      
  (  110,    12)                                                    void
  (  110,    13)                                                    void
  (  110,    14)                                                    void
  (  110,    15)                                                    void
  (  110,    16)                                                    void
  (  110,    17)                                                    void
  (  110,    18)                                                    void
  (  110,    19)                                                    void
  (  110,    20)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn#1 at (108, -12), stroke fell-road#1 at (108, -4)
