## shed (made) along x
TRANSECT 49 stations from (-24, 0) to (24, 0), every 1
  station        ground  surface  water  top  standing            step
  (  -24,     0)      16       30           30  controlpoint 1      
  (  -23,     0)      16       30           30  storey              
  (  -22,     0)      18       30           30  storey              
  (  -21,     0)      18       30           30  storey              
  (  -20,     0)      20       30           30  storey              
  (  -19,     0)      20       30           30  storey              
  (  -18,     0)      20       30           30  storey              
  (  -17,     0)      20       20           20                      DROP -10
  (  -16,     0)      20       34           34  storey              BARRIER +14
  (  -15,     0)      27       39           39  storey              BARRIER +5
  (  -14,     0)      27       39           39  storey              
  (  -13,     0)      27       34           34  storey              DROP -5
  (  -12,     0)      27       34           34  storey              
  (  -11,     0)      27       35           35  storey              +1
  (  -10,     0)      27       35           35  storey              
  (   -9,     0)      27       34           34  storey              -1
  (   -8,     0)      27       34           34  storey              
  (   -7,     0)      27       34           34  storey              
  (   -6,     0)      26       26           26                      DROP -8
  (   -5,     0)      26       26           26                      
  (   -4,     0)      26       26           26  controlpoint 0      
  (   -3,     0)      26       26           67  controlpoint 0      
  (   -2,     0)      26       26           67  controlpoint 0      
  (   -1,     0)      26       26           66  controlpoint 0      
  (    0,     0)      26       26           66  controlpoint 0      
  (    1,     0)      26       26           67  controlpoint 0      
  (    2,     0)      26       26           67  controlpoint 0      
  (    3,     0)      26       26           26  controlpoint 0      
  (    4,     0)      26       26           26  controlpoint 0      
  (    5,     0)      26       26           26                      
  (    6,     0)      27       34           34  storey              BARRIER +8
  (    7,     0)      27       34           34  storey              
  (    8,     0)      27       34           34  storey              
  (    9,     0)      27       35           35  storey              +1
  (   10,     0)      27       35           35  storey              
  (   11,     0)      27       34           34  storey              -1
  (   12,     0)      27       34           34  storey              
  (   13,     0)      27       39           39  storey              BARRIER +5
  (   14,     0)      27       39           39  storey              
  (   15,     0)      20       34           34  storey              DROP -5
  (   16,     0)      20       20           20                      DROP -14
  (   17,     0)      20       30           30  storey              BARRIER +10
  (   18,     0)      20       30           30  storey              
  (   19,     0)      20       30           30  storey              
  (   20,     0)      18       30           30  storey              
  (   21,     0)      18       30           30  storey              
  (   22,     0)      16       30           30  storey              
  (   23,     0)      16       30           30  storey              
  (   24,     0)      16       30           30  controlpoint 2      
rises 7, falls 7, worst step 14: 5 barrier, 0 scramble, 5 drop — DROP -10 at (-17, 0); BARRIER +14 at (-16, 0); BARRIER +5 at (-15, 0); DROP -5 at (-13, 0); DROP -8 at (-6, 0); BARRIER +8 at (6, 0); BARRIER +5 at (13, 0); DROP -5 at (15, 0); DROP -14 at (16, 0); BARRIER +10 at (17, 0) | walked end to end
beside: controlpoint 1 at (-26, -2), controlpoint 0 at (-4, -2), controlpoint 2 at (24, -2)

## shed (made) along z
TRANSECT 49 stations from (0, -24) to (0, 24), every 1
  station        ground  surface  water  top  standing            step
  (    0,   -24)      26       26           26                      
  (    0,   -23)      26       26           26                      
  (    0,   -22)      26       26           26  stroke tram-shed#1  
  (    0,   -21)      26       26           26  stroke tram-shed#1  
  (    0,   -20)      26       26           26  stroke tram-shed#1  
  (    0,   -19)      26       26           26  stroke tram-shed#1  
  (    0,   -18)      26       26           26                      
  (    0,   -17)      26       26           26                      
  (    0,   -16)      26       34           34  storey              BARRIER +8
  (    0,   -15)      27       39           39  storey              BARRIER +5
  (    0,   -14)      27       39           39  storey              
  (    0,   -13)      27       34           34  storey              DROP -5
  (    0,   -12)      27       34           34  storey              
  (    0,   -11)      27       34           34  storey              
  (    0,   -10)      27       34           34  storey              
  (    0,    -9)      27       34           34  storey              
  (    0,    -8)      27       34           34  storey              
  (    0,    -7)      27       34           34  storey              
  (    0,    -6)      26       26           26                      DROP -8
  (    0,    -5)      26       26           26                      
  (    0,    -4)      26       26           26  controlpoint 0      
  (    0,    -3)      26       26           67  controlpoint 0      
  (    0,    -2)      26       26           67  controlpoint 0      
  (    0,    -1)      26       26           66  controlpoint 0      
  (    0,     0)      26       26           66  controlpoint 0      
  (    0,     1)      26       26           67  controlpoint 0      
  (    0,     2)      26       26           67  controlpoint 0      
  (    0,     3)      26       26           26  controlpoint 0      
  (    0,     4)      26       26           26  controlpoint 0      
  (    0,     5)      26       26           26                      
  (    0,     6)      27       34           34  storey              BARRIER +8
  (    0,     7)      27       34           34  storey              
  (    0,     8)      27       34           34  storey              
  (    0,     9)      27       34           34  storey              
  (    0,    10)      27       34           34  storey              
  (    0,    11)      27       34           34  storey              
  (    0,    12)      27       34           34  storey              
  (    0,    13)      27       39           39  storey              BARRIER +5
  (    0,    14)      27       39           39  storey              
  (    0,    15)      26       34           34  storey              DROP -5
  (    0,    16)      26       26           26                      DROP -8
  (    0,    17)      26       26           26                      
  (    0,    18)      26       26           26  stroke tram-shed    
  (    0,    19)      26       26           26  stroke tram-shed    
  (    0,    20)      26       26           26  stroke tram-shed    
  (    0,    21)      26       26           26  stroke tram-shed    
  (    0,    22)      26       26           26                      
  (    0,    23)      26       26           26                      
  (    0,    24)      26       26           26                      
rises 4, falls 4, worst step 8: 4 barrier, 0 scramble, 4 drop — BARRIER +8 at (0, -16); BARRIER +5 at (0, -15); DROP -5 at (0, -13); DROP -8 at (0, -6); BARRIER +8 at (0, 6); BARRIER +5 at (0, 13); DROP -5 at (0, 15); DROP -8 at (0, 16) | walked end to end
beside: stroke tram-shed#1 at (-1, -22), controlpoint 0 at (-2, -4), stroke tram-shed at (-2, 18)
