HEIGHTMAP  1 char = 3x3 blocks (the top-left block of each)  x -133..131 across, z -74..73 down
KEY  char = ground height above y8 in bands of 2 block(s): 0 = y8..9, 1 = …; H house or hall  ~ water  @ spawn point  ! goal  space = void
     -3  -2 -1 -0  -9 -8 -7  -6 -5 -4  -3 -2 -1   0  1  2   3  4  5   6  7  8   9  0  1   2  3
     30741852963074185296307418529630741852963074125814703692581470369258147036925814703692581
 -74                                                        8                                 
 -71                                aa999                778899a                              
 -68                              dcbaa99987           467889aabcd                            
 -65                            feedccbaa987           56789aabccccc                          
 -62                        fffeeddccbaa99876          56789abbbcccbbbbbbbc                   
 -59                  hggfffedcbbcbbbaa998875          567899aaabbbbbbbbccdeff                
 -56                defffeeedb9999baaa9987665         245788999aaaabaaabcdeffggi              
 -53              ccccdeedddb99888aa998876543         2356788999aaaa999abcefghiij             
 -50             cbbbbcdddccb9887789887654432         234456788898988778aceffghijj            
 -47            ecbbbacdcccba8776678765543222         2223456667777766679bdefgghiij           
 -44           ddbaaaabbbbaa97655456554432222         2222334455556666678acdffgghhiij         
 -41         abcca9988aaa99987543355443322222         22222333444555666789bceffggghhii        
 -38       99aaab9877899887776543444443322222         22222233444555666778abcdefggghhhh       
 -35      999999a9877887776666555444443332222          222223344455566677889abdeefgggghg      
 -32     a99999999888777766665555444444332222          2222333444556667777889abcddefffffe     
 -29     aa9999998888777766665555444444432222          222233344455667777888899abbcdddddcc    
 -26    aaaaa9999888877777666655544444443222           22223334455567788888888899aabbccbbb    
 -23    aaaaaa999988887777666655544444444222           2222333445556788!88888889999aaaaaaaa   
 -20    aaaaaaa99998887777766655544444443222           2222333445556788H888888999999aaaaaaab  
 -17   bbbaaaaaa9998888777766655554444443222           22223334455566788888888999999aaaabbbb  
 -14  bbbbbbbaaa9998888777776655544444433222           22223334455566667778889999999aabbbbbbb 
 -11  bbbbbbbaaaa999888777776655544444433222           2223333445555445667788998799aaabbbbbbb 
  -8  bbbbbbbaaaaa99888767776665544222333222           111233344554344446778888777aaaabbbbbbbb
  -5  HHHHHbbaaaaa99876655677655542222123322           00012334554333544577887677aaaaabbbHHHHb
  -2 bHHHHHbbaaaaa98766655556655433243111322           00011134443345654557876669aaaaabbbHHHHb
   1 bHHHHHbbaaaaaa86667765546553334432111000          22221113323355666555666789aaaaabbbHHHHb
   4  HHHHHbbaaaaa877688776444533355433211000          22232122223555677655567889aaaaabbbHHHHb
   7  bbbbbbbaaaa8777888776544433555433332112          222333222345556677766888899aaaabbbbbbbb
  10  bbbbbbbaaa99779988877665455554443333222          222334444445556677777788899aaaabbbbbbb 
  13  bbbbbbbaa999999988877776666554443322222          2223344444455566677777888999aaabbbbbbb 
  16   bbbbaaaa999999988888887666554443322222          22233444444555666777778889999aaaaabbb  
  19    aaaaaaa999999888888!H8766554443322222          222344444445556666777788889999aaaaaaa  
  22    aaaaaaaa99999888888HH8766554443322222          2223444444455556667777888899999aaaaa   
  25     abbccbbbaa99888888887766554433322222          22234444444555566667777888899999aaaa   
  28      cdedddccba9988887777665554433322222          222344444445555666677778888899999aa    
  31      efffffeddcba98877777665554433322222          2223344444455556666777788899999999a    
  34       ghhgggffedcba987776665544433322222          222233444445555666777888779a999999     
  37        hhhhgggfeecba97766655544433322222          222233344443356677889997788abaa99      
  40          ihhgggffedba8766655554443322222          2222334455434468999aaa98999bccba       
  43           iihhggffecb9766666565554432222          2223345566445569aabbbba9aaacdd         
  46            jjihggffeca866677777666543322          2234456777667779bcccdcaabbbd           
  49             kjiihgfeda977889898887765432          334567789877888accddddbbbbc            
  52              kjihgfedca999aaaa9999876542          45677899aa88899bcdddedcccc             
  55                hgffedcbaaabaaaa999887643          567899aaaba999acdeefffed               
  58                  fedccbbbbbbbbbaaa988753          67899aaabbcbbbdefffggg                 
  61                     ccbbbbbcccbbbba98754          7899aabbcddeeeff                       
  64                           cccccbba988754          789aabbcddeef                          
  67                              cbaa998765           78999aabbce                            
  70                                a99886                999aaa                              
  73                                  8                                                       
low y8, high y48, range 40
