CLAIMS  1 char = 1 block  x -133..132 across, z -74..73 down
KEY  0 free  1 water  2 paving  3 structure  4 tree  5 boulder  6 flora  7 spawn keep-out  8 door approach  9 goal clearance  a wool-room keep-out  b structure keep-out  space void
       -3        -2        -1        -0        -9        -8        -7        -6        -5        -4        -3        -2        -1         0         1         2         3         4         5         6         7         8         9         0         1         2         3  
     32109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
 -74                                                                                                                                                                      000                                                                                                  
 -73                                                                                                                                                                   000000000                                                                                               
 -72                                                                                              0000000000                                                        00000000000000                                                                                             
 -71                                                                                            00000000000000000                                                0000000000000000000                                                                                           
 -70                                                                                          00000000000000000000000                                         000000000000000000000000                                                                                         
 -69                                                                                        0000000000000000000000000000                                   000000000000000000000000000000                                                                                      
 -68                                                                                      00000000000000000000000000000000                                00000000000000000000000000000000                                                                                     
 -67                                                                                   00000000000000000000000000000000000                                0000000000000000000000000000000000                                                                                   
 -66                                                                                  000000000000000000000000000000000000                                000000000000000000000000000000000000                                                                                 
 -65                                                                                00000000000000000000000000000000000000                               0000000000000000000000000000000000000000                                                                              
 -64                                                                              00000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000                                                                         
 -63                                                                           00000000000000000000000000000000000000000000                              00000000000000000000000000000000000000000000000000000000                                                              
 -62                                                                     00000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000                                                          
 -61                                                           000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000                                                       
 -60                                                       0000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000                                                    
 -59                                                   00000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000                                                 
 -58                                                 0000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000                                               
 -57                                               000000000000000000000000000000000000000000000000000000000000000000000000                             00000000000000000000000000000000000000000000000000000000000000000000000000                                             
 -56                                             00000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000                                           
 -55                                           0000000000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000000000                                         
 -54                                          00000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000                                        
 -53                                        0000000000000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000000000000                                      
 -52                                       00000000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000000                                     
 -51                                     0000000000000000000000000000000000000000000000000000000000000000000000000000000000                             00000000000000000000000000000000000000000000000000000000000000000000000000000000000                                    
 -50                                    00000000000000000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                   
 -49                                   000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  
 -48                                  0000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             00000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                 
 -47                                 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                
 -46                                000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               
 -45                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              
 -44                             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                            
 -43                           00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                           
 -42                         0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                          
 -41                       000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                         
 -40                     00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                       
 -39                    000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                      
 -38                  00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                             00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                     
 -37                 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    
 -36                0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                   
 -35               00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                 
 -34              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                 
 -33              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                
 -32             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000               
 -31             0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000              
 -30            00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000             
 -29            00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000             
 -28           000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000            
 -27           000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000000           
 -26          000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000000           
 -25          000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000000          
 -24          000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000000         
 -23         0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000000         
 -22         0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000000000        
 -21        00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000000000       
 -20        00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000000000       
 -19       000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000000000      
 -18       000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000000000      
 -17      0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000000000000     
 -16      0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000000000000    
 -15     00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000099999999999999999999900000000000000000000000000000000000000000000000000000    
 -14    000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000000000000   
 -13    000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000999999999999999999999000000000000000000000000000000000000000000000000000000   
 -12   0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000000000000000  
 -11   0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               00000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000000000000000000  
 -10  77777777777777777777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007777777777777777777777 
  -9  bbbbbbbbbbbbbbbbb777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077777bbbbbbbbbbbbbbbbb 
  -8  bbbbbbbbbbbbbbbbb777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077777bbbbbbbbbbbbbbbbb 
  -7  bbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
  -6  bbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
  -5  bbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
  -4  bbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
  -3 bbbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbbb
  -2 bbbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbbb
  -1 bbbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                                000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbbb
   0 bbbbbbbbbbbbbbbbbb777777888888888888800000000000000000000000000000000000000000000000000000000000000000000000000000000                                000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbbb
   1 bbbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbbb
   2 bbbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbbb
   3  bbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
   4  bbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
   5  bbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
   6  bbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
   7  bbbbbbbbbbbbbbbbb7777778888888888888000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000888888888888877777bbbbbbbbbbbbbbbbb 
   8  bbbbbbbbbbbbbbbbb7777770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077777bbbbbbbbbbbbbbbbb 
   9  777777777777777777777770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                               00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007777777777777777777777 
  10   77777777777777777777770000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000777777777777777777777  
  11   00000000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000  
  12    0000000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000   
  13    0000000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000   
  14     000000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000    
  15     000000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000     
  16      00000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000     
  17       0000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000      
  18       0000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000      
  19        000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000       
  20        000000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000       
  21         00000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000        
  22          0000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000        
  23          0000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000         
  24           000000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000         
  25            00000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                               000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000         
  26            00000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000          
  27             0000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000          
  28              000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000           
  29              000000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000           
  30               00000000000000000000000000000000000000000009999999999999999999990000000000000000000000000000000000000000                              0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000            
  31                0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000            
  32                 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000             
  33                  00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000             
