      | -4        -3        -2        -1         0         1         2         3         4 |
      | 1098765432109876543210987654321098765432101234567890123456789012345678901234567890 |
  -37 |                                                    SSSSSS                          |
  -36 |                                                    SSS@SS                          |
  -35 |                                                    EEEEEE                          |
  -34 |                   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                       |
  -33 |                   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                       |
  -32 |                   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                       |
  -31 |                   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                       |
  -30 |                   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                       |
  -29 |                   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                       |
  -28 |                   DDDDDDooooooooooooooooooooooooooooooCCCCCC     KKKKKKKKKKKKKKKWW |
  -27 |                   DDDDDDooooooooooooooooooooooooooooooCCCCCC     KKKKKKKKKKKKKKKWW |
  -26 |                   DDDDDDooooooooooooooooooooooooooooooCCCCCC     KKKKKKKKKKKKKKKW¤ |
  -25 |                   DDDDDDooooooooooooooooooooooooooooooCCCCCC     KKKKKKKKKKKKKKKWW |
  -24 |                   DDDDDDooooooooooooooooooooooooooooooCCCCCC     KKKKKKKKKKKKKKKWW |
  -23 |                   DDDDDDooooooooooooooooooooooooooooooCCCCCC     GGGGGoooooHHHHH   |
  -22 |      MMMMMLLLLLLLLBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB     GGGGGoooooHHHHH   |
  -21 |      MMMMMLLLLLLLLBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBJJJJJFFFFFFFFFFFFFFF   |
  -20 |      MMMMMLLLLLLLLBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBJJJJJFFFFFFFFFFFFFFF   |
