      |    -1         0         1    |
      | 4321098765432101234567890123 |
  -20 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAASS@SAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
  -16 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAA!AAAAAAAA!AAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   -8 |   ++++++++++++++++++++++++   |
   -7 |   ++++++++++++++++++++++++   |
   -6 |   ++++++++++++++++++++++++   |
   -5 |   ++++++++++++++++++++++++   |
   -4 |     BBBBBBBBBBBBBBBBBBBB     |
   -3 |     BBBBBBBBBBBBBBBBBBBB     |
   -2 |     BBBBBBBBBBBBBBBBBBBB     |
   -1 |     BBBBBBBBBBBBBBBBBBBB     |
    0 |     BBBBBBBBBBBBBBBBBBBB     |
    1 |     BBBBBBBBBBBBBBBBBBBB     |
    2 |     BBBBBBBBBBBBBBBBBBBB     |
    3 |     BBBBBBBBBBBBBBBBBBBB     |
    4 |   ++++++++++++++++++++++++   |
    5 |   ++++++++++++++++++++++++   |
    6 |   ++++++++++++++++++++++++   |
    7 |   ++++++++++++++++++++++++   |
    8 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAA!AAAAAAAA!AAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAAAAAAAAAAAAAA |
   16 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
   17 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
   18 | AAAAAAAAAAAASS@SAAAAAAAAAAAA |
   19 | AAAAAAAAAAAASSSSAAAAAAAAAAAA |
      28 × 40 cells drawn  ·  28 × 40 cells = 140 × 200 blocks  ·  cell 5
      ! destroyable   @ spawn   A shelf (piece)   B reef (piece)   S camp (spawn)   
