      |        -1         0         1        |
      | 876543210987654321012345678901234567 |
  -42 |                WWWW                  |
  -41 |                WW¤W                  |
  -40 |                JJJJ                  |
  -39 |                JJJJ                  |
  -38 |            FFFFFFFFFFFF              |
  -37 |            FFFFFFFFFFFF              |
  -36 |            FFFFFFFFFFFF              |
  -35 |            FFFFFFFFFFFF              |
  -34 |            HHHHooooGGGG              |
  -33 |            HHHHooooGGGG              |
  -32 |            HHHHooooGGGG              |
  -31 |            HHHHooooGGGG              |
  -30 |          BBBBBBBBBBBBBBBB            |
  -29 |          BBBBBBBBBBBBBBBB            |
  -28 |          BBBBBBBBBBBBBBBB            |
  -27 |          BBBBBBBBBBBBBBBB            |
  -26 |          DDDDooooooooCCCC            |
  -25 |          DDDDooooooooCCCC            |
  -24 |          DDDDooooooooCCCC            |
  -23 |          DDDDooooooooCCCC            |
  -22 |          DDDDooooooooCCCC            |
  -21 |          DDDDooooooooCCCC            |
  -20 | VVKKKAAAAAAAAAAAAAAAAAAAAAAAAESS     |
  -19 | VVKKKAAAAAAAAAAAAAAAAAAAAAAAAESS     |
  -18 | V¤KKKAAAAAAAAAAAAAAAAAAAAAAAAES@     |
  -17 | VVKKKAAAAAAAAAAAAAAAAAAAAAAAAESS     |
  -16 |      LLLLLLLLLLLLLLLLLLLLLLLL        |
  -15 |      LLLLLLLLLLLLLLLLLLLLLLLL        |
  -14 |      LLLLLLLLLLLLLLLLLLLLLLLL        |
  -13 |      LLLLLLLLLLLLLLLLLLLLLLLL        |
  -12 |        MMMMMMMMMMMMMMMMMMMMMM        |
  -11 |        MMMMMMMMMMMMMMMMMMMMMM        |
  -10 |        ++++++++++++++++++++++        |
   -9 |        ++++++++++++++++++++++        |
   -8 |        ++++++++++++++++++++++        |
   -7 |        ++QQQQ+++PPPP+++NNNN++        |
   -6 |        ++QQQQ+++PPPP+++NNNN++        |
   -5 |        ++QQQQ+++PPPP+++NNNN++        |
   -4 |        ++QQQQ+++PPPP+++NNNN++        |
   -3 |        ++++++++++++++++++++++        |
   -2 |        ++++++++++++++++++++++        |
   -1 |        ++++++++++++++++++++++        |
    0 |        ++++++++++++++++++++++        |
    1 |        ++++++++++++++++++++++        |
    2 |        ++++++++++++++++++++++        |
    3 |        ++NNNN+++PPPP+++QQQQ++        |
    4 |        ++NNNN+++PPPP+++QQQQ++        |
    5 |        ++NNNN+++PPPP+++QQQQ++        |
    6 |        ++NNNN+++PPPP+++QQQQ++        |
    7 |        ++++++++++++++++++++++        |
    8 |        ++++++++++++++++++++++        |
    9 |        ++++++++++++++++++++++        |
   10 |        MMMMMMMMMMMMMMMMMMMMMM        |
   11 |        MMMMMMMMMMMMMMMMMMMMMM        |
   12 |        LLLLLLLLLLLLLLLLLLLLLLLL      |
   13 |        LLLLLLLLLLLLLLLLLLLLLLLL      |
   14 |        LLLLLLLLLLLLLLLLLLLLLLLL      |
   15 |        LLLLLLLLLLLLLLLLLLLLLLLL      |
   16 |     SSEAAAAAAAAAAAAAAAAAAAAAAAAKKKVV |
   17 |     SSEAAAAAAAAAAAAAAAAAAAAAAAAKKKVV |
   18 |     S@EAAAAAAAAAAAAAAAAAAAAAAAAKKKV¤ |
   19 |     SSEAAAAAAAAAAAAAAAAAAAAAAAAKKKVV |
   20 |            CCCCooooooooDDDD          |
   21 |            CCCCooooooooDDDD          |
   22 |            CCCCooooooooDDDD          |
   23 |            CCCCooooooooDDDD          |
   24 |            CCCCooooooooDDDD          |
   25 |            CCCCooooooooDDDD          |
   26 |            BBBBBBBBBBBBBBBB          |
   27 |            BBBBBBBBBBBBBBBB          |
   28 |            BBBBBBBBBBBBBBBB          |
   29 |            BBBBBBBBBBBBBBBB          |
   30 |              GGGGooooHHHH            |
   31 |              GGGGooooHHHH            |
   32 |              GGGGooooHHHH            |
   33 |              GGGGooooHHHH            |
   34 |              FFFFFFFFFFFF            |
   35 |              FFFFFFFFFFFF            |
   36 |              FFFFFFFFFFFF            |
   37 |              FFFFFFFFFFFF            |
   38 |                  JJJJ                |
   39 |                  JJJJ                |
   40 |                  WWWW                |
   41 |                  WW¤W                |
      36 × 84 cells drawn  ·  36 × 84 cells = 144 × 336 blocks  ·  cell 4
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-a-t2 (piece)   H wool-a-t3 (piece)   
      J wool-a-t4 (piece)   K wool-b-t1 (piece)   L frontline-t1 (piece)   M frontline-t2 (piece)   
      N mid-stone-0 (piece)   P mid-stone-1 (piece)   Q mid-stone-2 (piece)   
      S spawn-room (spawn)   V wool-b-room (wool-room)   W wool-a-room (wool-room)   ¤ wool   
